Author,Year,n_treat,n_control,n,design,wmd,lCI_wmd,uCI_wmd,se_wmd,pooled_sd,d,J,g,se_g
D'amicia,1996,28,28,,P,0,-11.82,11.82,6.030612245,22.56448485,0,0.986046512,0,0.263532015
D'amicib,1996,28,28,,P,3.54,-8.28,15.36,6.030612245,22.56448485,0.156883706,0.986046512,0.154694631,0.263532015
Superkoa,1991,62,58,,P,-5.31,-18.95,8.33,6.959183673,38.09583679,-0.139385309,0.993630573,-0.138497505,0.181512161
Superkob,1991,61,58,,P,3.53,-10.62,17.68,7.219387755,39.36459631,0.089674487,0.993576017,0.08909842,0.182219842
Vana,1991,22,21,,P,29.2,15.25,43.15,7.117346939,23.32947127,1.251635738,0.981595092,1.228599498,0.299464687
Vanb,1991,21,21,,P,15.04,-1.39,31.47,8.382653061,27.16290043,0.553696393,0.981132075,0.543249292,0.302783932
Grubben,2000,,,64,X,35.39,18.46,52.32,8.637755102,69.10204082,0.51214117,0.988047809,0.50601996,0.123505976
Rosmarin,1990,,,21,X,3.54,-28.31,35.39,16.25,74.46685504,0.047537928,0.962025316,0.04573269,0.209931135
Aroa,1987,,,42,X,49.56,6.78,92.34,21.82653061,141.4520852,0.350365991,0.981595092,0.343917537,0.151463411
Arob,1987,,,42,X,14.16,-22.88,51.2,18.89795918,122.4727732,0.115617534,0.981595092,0.113489604,0.151463411
Aro,1985,,,12,X,16.81,-3.4,37.02,10.31122449,35.71912941,0.470616173,0.930232558,0.437782487,0.268535009
