Study,Year,events_treat,n_treat,events_ctrl,n_ctrl,OR,lCI,uCI,ES,J,g,se_es,se_g
Aloia,2005,1,104,2,104,0.5,0.05,5.43,0.382954243,0.9963548,0.381558298,0.660682068,0.658273749
Avenell,2012,836,2649,881,2643,0.95,0.88,1.02,0.028338837,0.999858216,0.028334819,0.02080787,0.02080492
Bjorkman,2007,27,150,9,68,1.36,0.68,2.73,-0.16988105,0.996523754,-0.169290501,0.195902031,0.195221027
Bolton-Smith,2007,0,62,1,61,0.33,0.01,7.9,0.612520787,0.99378882,0.60871631,0.940358686,0.934517948
Broe,2007,5,99,2,25,0.63,0.13,3.07,0.25526821,0.993839836,0.253695716,0.445639079,0.442893869
Burleigh,2007,16,101,13,104,1.27,0.64,2.5,-0.132053536,0.996300863,-0.131565052,0.192042202,0.191331812
Cooper,2003,0,93,1,94,0.34,0.01,8.16,0.596027437,0.99594046,0.59360784,0.944922533,0.941086582
Dawson-Hughes,1997,2,187,2,202,1.08,0.15,7.59,-0.042519912,0.998060763,-0.042437456,0.553043124,0.551970643
Dukas,2004,1,192,1,186,0.97,0.06,15.37,0.016828291,0.998003992,0.016794702,0.781631,0.780070859
Flicker,2005,76,313,85,312,0.89,0.68,1.16,0.064383324,0.998795664,0.064305785,0.075273775,0.07518312
Gallagher,2001,2,123,1,123,2,0.18,21.77,-0.382954243,0.996923077,-0.381775923,0.675855692,0.673776136
Glendenning,2012,2,353,0,333,4.72,0.23,97.9,-0.857352928,0.998903108,-0.856412504,0.853199701,0.852263833
Grimnes,2011,0,51,1,53,0.35,0.01,8.31,0.580012223,0.992628993,0.575736949,0.947489823,0.940505869
Jackson,2006,744,18176,807,18106,0.92,0.83,1.01,0.046067187,0.999979327,0.046066235,0.02766376,0.027663188
Janssen,2010,0,36,1,34,0.32,0.01,7.48,0.629521703,0.988929889,0.622552828,0.932659119,0.922334479
