Author,Year,Age,n,sex,design,duration,md,md_se,pooled_sd,d,J,g,se_g
Lopes,2003,35,12,F/M,Cross-over,4,8.1,1.5,5.196152423,1.558845727,0.930232558,1.450089048,0.268535009
Lopes,2003,39,12,F/M,Cross-over,4,1.67,0.99,3.429460599,0.486957045,0.930232558,0.452983298,0.268535009
Azadbakht,2011,55,31,F/M,Cross-over,8,10.5,2.1,11.69230516,0.89802651,0.974789916,0.875387186,0.175077437
Applehy,1997,44,84,F/Ma,Parallel,8,11.4,2.29,10.49409834,1.086324868,0.990825688,1.076358585,0.216215891
Aplleho,1997,44,221,F/Ma,Parallel,8,3.5,0.94,6.987052311,0.500926549,0.996571429,0.499209086,0.134073297
Sacks,2001,47,412,F/M,Parallel,4,8.9,1.12,11.36675855,0.782984873,0.998169616,0.78155171,0.098352575
Erlinger,2002,53.4,55,F/M,Parallel,8,7.1,3.2,11.86591758,0.598352378,0.985781991,0.589844998,0.265845633
Miller,2002,53,44,F/M,Parallel,9,12.1,2.5,8.291561976,1.459314908,0.982035928,1.43309967,0.296094973
Appel,2003,50.2,542,F/M,Parallel,26,4.3,0.79,9.195952914,0.467597001,0.998610468,0.466947259,0.085787985
Azadbakht,2005,41.2,55,F,Parallel,26,11,1.74,6.452092684,1.704873215,0.985781991,1.680633312,0.265845633
Azadbakht,2005,41.2,23,F,Parallel,26,11,2.95,7.073851497,1.555022749,0.963855422,1.498817107,0.401955497
Burke,2005,57.1,204,F/M,Parallel,16,3.1,0.86,6.141628449,0.504752123,0.996282528,0.502875721,0.139507458
Nowson,2005,47.1,44,F,Parallel,12,5.5,12.6,41.78947236,0.131612095,0.982035928,0.129247806,0.296094973
Kirpizidis,2005,54.1,201,F/M,Parallel,16,4,0.8,5.670978752,0.705345616,0.996226415,0.702683934,0.140536787
Nowsonhy,2009,60,35,F,Parallel,14,5.5,2.76,8.164190101,0.673673681,0.977099237,0.65824604,0.330319831
Nowsonho,2009,60,60,F,Parallel,14,1.1,1.98,7.668507025,0.143443828,0.987012987,0.141580921,0.254845657
Svetkey,2009,60.7,264,F/M,Parallel,26,3,1.56,12.67349991,0.236714406,0.99713467,0.236036141,0.122738793
Blumenthal,2010,51.8,95,F/M,Parallel,16,7.8,2.21,10.77020775,0.724220013,0.991913747,0.718363787,0.203536406
Blumenthal,2010,52.3,95,F/M,Parallel,16,12.7,2.21,10.77020775,1.17917874,0.991913747,1.169643601,0.203536406
Edwards,2011,48,27,F/M,Parallel,12,10.1,2.71,7.040786533,1.434498824,0.96969697,1.391029162,0.373236538
Lin,2012,44.3,20,F/M,Parallel,2,8.7,6.28,14.0425069,0.619547497,0.957746479,0.593369434,0.428317246
Whitt-Glover,2013,51.4,25,F/M,Parallel,12,5.6,7.04,17.6,0.318181818,0.967032967,0.307692308,0.386813187
