Author,,loading_dose,total_dose,duration,training,t0-t1,d,lCI,uCI,se_d,J,g,se_g,notes
Brosea,-,0,490,98,Strength,98,0.023,-1.067,1.114,0.556377551,1,0.023,0.556377551,"n not available, d used"
Broseb,-,0,490,98,Strength,98,0.282,-0.739,1.302,0.520663265,1,0.282,0.520663265,
Camica,Sedentary,0,70,28,-,28,0.076,-0.458,0.61,0.27244898,1,0.076,0.27244898,
Camicb,Sedentary,0,35,28,-,28,0.405,-0.134,0.944,0.275,1,0.405,0.275,
Chrusch,Sedentary,26,578,72,Strength,70,0.711,-0.03,1.452,0.378061224,1,0.711,0.378061224,
FergusonSyrotuik,Recreation,,266,70,Strength,70,-0.06,-0.829,0.709,0.392346939,1,-0.06,0.392346939,
Gotshalk,-,25,178,7,None,7,0.152,-0.779,1.083,0.475,1,0.152,0.475,
Herda,Recreation,0,150,30,Mixed,30,0.022,-0.721,0.764,0.378826531,1,0.022,0.378826531,
Kilduff,Recreation,23,278,28,Strength,28,1.109,0.135,2.084,0.497193878,1,1.109,0.497193878,
Peetersa,Recreation,20,393,42,Strength,42,0.305,-0.489,1.1,0.405357143,1,0.305,0.405357143,
Peetersb,Recreation,20,393,42,Strength,42,-0.038,-0.876,0.799,0.427295918,1,-0.038,0.427295918,
Pluim,Competition,22,194,34,Mixed,34,0.42,-0.4,1.241,0.418622449,1,0.42,0.418622449,
Syrotuika,Recreation,23,115,5,Strength,39,0.426,-0.635,1.488,0.541581633,1,0.426,0.541581633,
Syrotuikb,Recreation,23,191,37,Strength,39,0.16,-0.89,1.209,0.535459184,1,0.16,0.535459184,
Syrotuikc,Recreation,23,196,40,Strength,35,0.384,-0.443,1.21,0.421683673,1,0.384,0.421683673,
Vandenberghe,Sedentary,20,430,74,Strength,70,0.707,-0.224,1.638,0.475,1,0.707,0.475,
