Author,Year,n_treatment,n_control,weight,ES_neg,CI_lower_neg,CI_upper_neg,ES,CI_lower,CI_upper,SE,pooled_sd,d,J,g,se_g
Aro,1981,9,9,0.075,-1.07,-5.13,2.99,1.07,-2.99,5.13,2.071428571,4.394163569,0.243504818,0.952380952,0.23190935,0.448956686
Chuang,1992,13,13,0.085,-2.77,-6.24,0.7,2.77,-0.7,6.24,1.770408163,4.513672886,0.613690905,0.968421053,0.594311193,0.379845988
Laajam,1990,39,39,0.062,-1.57,-6.54,3.4,1.57,-3.4,6.54,2.535714286,11.1974111,0.140210981,0.99009901,0.138822754,0.224213274
Liatis,2009,23,18,0.112,-3.41,-5.42,-1.4,3.41,1.4,5.42,1.025510204,3.258728871,1.046420287,0.980645161,1.026166991,0.30860549
Ma,2013,127,59,0.132,-0.11,-0.23,0.01,0.11,-0.01,0.23,0.06122449,0.388594428,0.28307148,0.995918367,0.281916087,0.156910624
McGeoch,2013,27,27,0.128,0.1,-0.78,0.98,-0.1,-0.98,0.78,0.448979592,1.649656357,-0.060618686,0.985507246,-0.059740154,0.268221099
Peterson,1987,16,16,0.114,-0.53,-2.41,1.35,0.53,-1.35,2.41,0.959183673,2.71298112,0.195357054,0.974789916,0.190432087,0.34464028
Vuksan,1999,11,11,0.042,-0.59,-7.45,6.27,0.59,-6.27,7.45,3.5,8.20822758,0.071879099,0.962025316,0.069149513,0.410208973
Ziai,2005,21,15,0.123,-2.2,-3.53,-0.87,2.2,0.87,3.53,0.678571429,2.007241355,1.096031623,0.977777778,1.071675365,0.33054922
