Author,n,diet,weihgt,es_neg,lCI_neg,uCI_neg,es,lCI,uCI,SE,pooled_sd,d,J,g,se_g
Appel,810,DASH,0.086,-4.2,-5.58,-2.82,4.2,2.82,5.58,0.704081633,20.03851456,0.209596374,0.999072643,0.209402004,0.035103834
Azadbakht,44,DASH,0.01,-10.5,-19.24,-1.76,10.5,1.76,19.24,4.459183673,29.57887823,0.354983036,0.98245614,0.348755264,0.148110836
Blumenthal,144,DASH,0.035,-10.3,-14.37,-6.23,10.3,6.23,14.37,2.076530612,24.91836735,0.413349713,0.99474606,0.411177999,0.082895505
Burke,241,DASH,0.047,-3.1,-6.26,0.06,3.1,-0.06,6.26,1.612244898,25.02877145,0.123857458,0.996871741,0.12347,0.064214154
Miller,45,DASH,0.028,-9.4,-14.08,-4.72,9.4,4.72,14.08,2.387755102,16.01754817,0.586856359,0.982857143,0.576795964,0.146515692
Moore,354,DASH,0.081,-3.7,-5.27,-2.13,3.7,2.13,5.27,0.801020408,15.07110904,0.245502835,0.997873848,0.244980859,0.053036397
Nowson,63,DASH,0.041,-5.5,-9.03,-1.97,5.5,1.97,9.03,1.801020408,14.29515632,0.384745705,0.987854251,0.380072681,0.124457937
Nowson,111,DASH,0.046,-2.9,-6.11,0.31,2.9,-0.31,6.11,1.637755102,17.25482069,0.168068973,0.993166287,0.166920438,0.094267172
Sacks,206,DASH,0.087,-6.7,-8.03,-5.37,6.7,5.37,8.03,0.678571429,9.739332207,0.687932176,0.996336996,0.685412278,0.069418088
Sacks,206,DASH,0.088,-3,-4.3,-1.7,3,1.7,4.3,0.663265306,9.519648022,0.315137702,0.996336996,0.313983351,0.069418088
Svetkey,574,DASH,0.049,-3,-6.08,0.08,3,-0.08,6.08,1.571428571,37.64875259,0.079683915,0.998690528,0.079579571,0.041684537
Domenech,284,med,0.068,-4.2,-6.32,-2.08,4.2,2.08,6.32,1.081632653,18.22799747,0.230414779,0.99734748,0.229803599,0.059181685
Esposito,180,med,0.058,-2,-4.58,0.58,2,-0.58,4.58,1.316326531,17.66037362,0.113247887,0.995804196,0.112772721,0.074222862
Esposito,120,med,0.103,-3,-3.46,-2.54,3,2.54,3.46,0.234693878,2.570942617,1.166887188,0.993684211,1.159517374,0.090710543
Adamsson,88,nordic,0.024,-7.15,-12.32,-1.98,7.15,1.98,12.32,2.637755102,24.7443362,0.288955013,0.991354467,0.286456843,0.105678741
Brader,206,nordic,0.034,-4,-8.08,0.08,4,-0.08,8.08,2.081632653,29.87704918,0.13388203,0.996336996,0.13339162,0.069418088
Poulsen,181,nordic,0.054,-5.2,-7.97,-2.43,5.2,2.43,7.97,1.413265306,19.01354011,0.273489312,0.995827538,0.272348188,0.074019278
VonHaehling,524,tibetan,0.06,-1.1,-3.58,1.38,1.1,-1.38,3.58,1.265306122,28.96418101,0.037977942,0.99856528,0.037923455,0.043622527
