Author,LC_mean,LC_sd,n_LC,LF_mean,LF_sd,n_LF,weight,md,md_lCI,md_uCI,md_se,pooled_sd,d,J,g,se_g
Brinkworth,-0.58,0.63,33,-0.22,0.66,36,8.4,0.36,0.06,0.66,0.153061224,0.635109865,0.566831063,0.988764045,0.560462175,0.238291741
Dansinger,-0.01,0.95,40,0.069,0.41,40,7.7,0.07,-0.25,0.39,0.163265306,0.730144646,0.095871415,0.990353698,0.09494661,0.221449819
Davis,-0.15,0.88,55,-0.01,0.86,50,7.2,0.14,-0.19,0.47,0.168367347,0.861647368,0.162479461,0.99270073,0.16129348,0.193975395
Dyson,-0.2,0.57,10,0,0.87,11,2.2,0.2,-0.42,0.82,0.316326531,0.723972906,0.276253432,0.96,0.265203295,0.419454191
Foster,-0.42,0.4,33,-0.02,0.7,30,9.4,0.4,0.11,0.69,0.147959184,0.586528675,0.681978592,0.987654321,0.673559104,0.249148138
Foster,-0.14,0.76,153,-0.16,0.8,154,20.7,-0.02,-0.19,0.15,0.086734694,0.759853272,-0.026320871,0.997538966,-0.026256095,0.113865716
Gardner,-0.33,0.67,70,-0.17,0.52,64,16.7,0.16,-0.04,0.36,0.102040816,0.590011575,0.27118112,0.9943074,0.269637395,0.171962624
Iqbal,-0.29,1.15,67,-0.15,1,71,6.2,0.14,-0.22,0.5,0.183673469,1.078384065,0.129823877,0.994475138,0.129106618,0.16938186
Lim,-0.2,0.7,17,0.1,0.9,18,3,0.3,-0.23,0.83,0.270408163,0.799551586,0.375210312,0.977099237,0.366617709,0.330454738
McAuley,-0.47,0.69,24,-0.31,0.56,24,6.4,0.16,-0.2,0.52,0.183673469,0.636263562,0.251468117,0.983606557,0.247345689,0.283942755
Shai,-0.25,0.96,81,-0.03,0.9,90,9.8,0.22,-0.06,0.5,0.142857143,0.932755179,0.23586039,0.995555556,0.234812121,0.152475403
Stern,-0.66,1.79,44,0.05,0.96,43,2.4,0.71,0.11,1.31,0.306122449,1.427565746,0.497350123,0.991150442,0.492948795,0.212539003
