Author,LC_mean,LC_sd,n_LC,LF_mean,LF_sd,n_LF,weight,md,md_lCI,md_uCI,md_se,pooled_sd,d,J,g,se_g
Brinkworth,0.3,0.4,33,0.07,0.36,36,2.4,0.23,0.05,0.41,0.091836735,0.381065919,0.603570114,0.988764045,0.596788427,0.238291741
Dansinger,0.09,0.18,40,-0.01,0.17,40,11.7,0.1,0.02,0.18,0.040816327,0.182536161,0.547836654,0.990353698,0.542552057,0.221449819
Davis,0.16,0.27,55,0.06,0.21,50,8.5,0.1,0.01,0.19,0.045918367,0.235261625,0.425058698,0.99270073,0.42195608,0.193755343
Dyson,0.18,0.22,10,0.09,0.32,11,1.4,0.09,-0.14,0.32,0.117346939,0.268875615,0.334727268,0.96,0.321338177,0.418978349
Foster,0.22,0.31,33,0.04,0.21,30,4.5,0.18,0.05,0.31,0.066326531,0.263225258,0.683824954,0.987654321,0.675382671,0.248865497
Foster,0.2,0.29,153,0.12,0.24,154,17.5,0.08,0.02,0.14,0.030612245,0.268184931,0.298301623,0.997538966,0.297567492,0.113865112
Gardner,0.13,0.24,70,0,0.16,64,14.2,0.13,0.06,0.2,0.035714286,0.206711373,0.628896214,0.9943074,0.625316159,0.171790154
Iqbal,0.02,0.28,67,0.02,0.24,71,9.3,0,-0.09,0.09,0.045918367,0.26970934,0,0.994475138,0,0.169310691
Lim,0.1,0.3,17,0.1,0.3,18,2,0,-0.2,0.2,0.102040816,0.301840805,0,0.977099237,0,0.330319831
McAuley,0.12,0.28,24,-0.02,0.23,24,3.6,0.14,0,0.28,0.071428571,0.24743583,0.565803264,0.983606557,0.5565278,0.283942755
Shai,0.22,0.28,81,0.17,0.24,90,11.2,0.05,-0.03,0.13,0.040816327,0.266871364,0.187356183,0.995555556,0.186523489,0.152264072
Stern,-0.03,0.18,44,-0.13,0.14,43,13.2,0.1,0.03,0.17,0.035714286,0.16656034,0.60038302,0.991150442,0.595069895,0.212524963
