Author,LC_mean,LC_sd,n_LC,LF_mean,LF_sd,n_LF,weight,md,md_lCI,md_uCI,md_se,pooled_sd,d,J,g,se_g
Brinkworth,0.6,1.15,33,0.1,0.6,36,3.1,0.5,0.06,0.94,0.224489796,0.931494468,0.53677184,0.988764045,0.530740696,0.238291741
Dansinger,-0.18,0.62,40,-0.33,0.49,40,10.1,0.15,-0.09,0.39,0.12244898,0.547608484,0.273918327,0.223606798,0.06125,0.05
Davis,-0.04,0.63,55,-0.13,0.66,50,9.9,0.14,-0.11,0.39,0.12755102,0.652763158,0.214472889,0.195401684,0.041908364,0.038181818
Dyson,0,0.51,10,-0.4,0.77,11,2,0.4,-0.15,0.95,0.280612245,0.642234029,0.62282592,0.436931449,0.272132231,0.190909091
Foster,0.02,0.7,33,-0.18,0.49,30,6.9,0.2,-0.1,0.5,0.153061224,0.606753801,0.329622986,0.25226249,0.083151515,0.063636364
Foster,-0.12,0.72,153,-0.21,0.56,154,29,0.09,-0.05,0.23,0.071428571,0.625761518,0.14382476,0.114146635,0.016417112,0.013029454
Gardner,0.02,0.59,70,-0.1,0.49,64,18,0.12,-0.06,0.3,0.091836735,0.531010418,0.225984267,0.172947143,0.039083333,0.029910714
Iqbal,-0.21,1.29,67,-0.16,1.2,71,3.5,-0.05,-0.47,0.37,0.214285714,1.258114743,-0.039742003,0.17032287,-0.006768972,0.02900988
Lim,-0.3,0.7,17,-0.3,0.7,18,2.8,0,-0.46,0.46,0.234693878,0.693950433,0,0.338199771,0,0.114379085
McAuley,-0.1,1.07,24,-0.1,0.58,24,2.6,0,-0.48,0.48,0.244897959,0.848351416,0,0.288675135,0,0.083333333
Shai,-0.08,1.02,81,0,0.89,90,7.3,-0.08,-0.37,0.21,0.147959184,0.966067864,-0.082809917,0.153156097,-0.012682844,0.02345679
Stern,0.18,0.91,42,-0.1,0.75,43,4.8,0.28,-0.07,0.63,0.178571429,0.823116643,0.3401705,0.216945472,0.07379845,0.047065338
