author,year,md_treat,sd_treat,n_treat,md_control,sd_control,n_control,md,lCI,uCI,se_md,pooled_sd,d,J,g,se_g
Aguiar,2013,1.1,0.5,9,0,0.6,9,1.1,0.59,1.61,0.260204082,0.551976212,1.992839504,0.952380952,1.897942384,0.448956686
Brosem,2003,1.4,1.2,5,0,0.5,2,1.4,0.14,2.66,0.642857143,0.850420064,1.64624526,0.842105263,1.386311798,0.636571744
Brosew,2003,2,1.2,5,0.6,0.5,4,1.4,0.24,2.56,0.591836735,0.887755102,1.577011494,0.888888889,1.401787995,0.592592593
Candow,2008,2.1,1.4,13,0.6,2.1,12,1.5,0.09,2.91,0.719387755,1.798469388,0.834042553,0.967032967,0.806546645,0.386813187
Chrusch,2001,3.3,0.3,16,1.3,0.3,14,2,1.78,2.22,0.112244898,0.307395313,6.506280077,0.972972973,6.33043467,0.355279497
Deacon,2008,0.9,2.4,38,0.8,2.6,42,0.1,-1,1.2,0.56122449,2.50987222,0.039842666,0.990353698,0.039458331,0.221449819
Eijnde,2003,0.9,1.3,23,-1.2,1.3,23,2.1,1.35,2.85,0.382653061,1.297639665,1.618322911,0.982857143,1.590580232,0.28982876
Eliot,2008,2.5,1.4,10,-0.4,5.2,10,2.9,-0.44,6.24,1.704081633,3.81044237,0.76106649,0.957746479,0.728908751,0.428317246
Neves,2011,1.1,1.4,13,0.8,0.8,11,0.3,-0.6,1.2,0.459183673,1.124765698,0.266722216,0.965517241,0.257524899,0.394170763
