Author,RR,lCI,uCI,events_treat,n_treat,events_control,n_control,ES,J,g,se_es,se_g
GISSI-P,0.96,0.8,1.14,223,5666,233,5658,0.022553588,0.999933756,0.022552094,0.049917101,0.049913794
JEUS,0.76,0.56,1.04,71,9326,93,9319,0.151622567,0.99995977,0.151616467,0.087247605,0.087244095
GISSI-HF,0.83,0.64,1.06,107,3494,129,3481,0.102944518,0.999892438,0.102933445,0.071112303,0.071104654
DOIT,1.22,0.51,2.89,11,282,9,281,-0.109862353,0.998662506,-0.109715413,0.244475287,0.244148303
SU.FOLOM3,1,0.61,1.62,32,1253,32,1248,0,0.99969985,0,0.137659611,0.137618292
Alpha Omega,0.88,0.67,1.17,89,2404,102,2433,0.070626172,0.999844873,0.070615216,0.078571614,0.078559425
OMEGA,1.1,0.81,1.48,87,1919,78,1885,-0.052657558,0.999802722,-0.05264717,0.084953647,0.084936888
ORIGIN,1.08,0.93,1.26,344,6281,316,6255,-0.042519912,0.999940162,-0.042517368,0.042801107,0.042798546
R&P,0.92,0.77,1.1,228,6239,248,6266,0.046067187,0.999940013,0.046064424,0.050269893,0.050266877
AREOS-2,0.72,0.45,1.15,30,2147,40,2056,0.18149396,0.99982146,0.181461556,0.132240055,0.132216445
VITAL,0.73,0.59,0.9,145,12933,200,12938,0.17387334,0.999971007,0.173868299,0.059515197,0.059513472
ASCEND,0.93,0.76,1.13,186,7740,200,7740,0.040094305,0.999951543,0.040092363,0.055904623,0.055901914
