Author,RR,lCI,uCI,events_treat,n_treat,events_control,n_control,ES,J,g,se_es,se_g
GISSI-P,0.84,0.72,0.97,291,5666,348,5658,0.096327838,0.999933756,0.096321457,0.042006548,0.042003765
GISSI-HF,0.93,0.85,1.02,712,3494,765,3481,0.040094305,0.999892438,0.040089993,0.025696465,0.025693701
DOIT,0.63,0.25,1.61,7,282,11,281,0.25526821,0.998662506,0.25492679,0.262505432,0.262154332
SU.FOL.OM3,0.82,0.47,1.41,23,1253,28,1248,0.109641403,0.99969985,0.109608494,0.154838805,0.15479233
Alpha Omega,0.99,0.73,1.34,80,2404,82,2433,0.005552672,0.999844873,0.00555181,0.085604403,0.085591123
OMEGA,1.29,0.9,1.85,67,1919,51,1885,-0.140686308,0.999802722,-0.140658554,0.10155403,0.101533996
ORIGIN,0.98,0.88,1.1,574,6281,581,6255,0.011161717,0.999940162,0.011161049,0.031449931,0.031448049
R&P,1.04,0.83,1.31,142,6239,137,6266,-0.021668902,0.999940013,-0.021667602,0.064319077,0.064315219
AREDS-2,1.03,0.49,2.19,14,2147,13,2056,-0.01633083,0.99982146,-0.016327914,0.211023147,0.210985471
VITAL,0.96,0.76,1.21,142,12933,148,12938,0.022553588,0.999971007,0.022552934,0.065545327,0.065543427
ASCEND,0.82,0.67,0.99,186,7740,228,7740,0.109641403,0.999951543,0.10963609,0.055026952,0.055024286
