Author,Year,n_treatment,n_control,weight,ES_neg,CI_lower_neg,CI_upper_neg,ES,CI_lower,CI_upper,SE,pooled_sd,d,J,g,se_g
Brahe,2015,19,16,9.6,-0.12,-2.32,2.08,0.12,-2.08,2.32,1.12244898,3.308029542,0.036275371,0.977777778,0.035469252,0.331770214
Kobayakawa,2013,15,15,9.4,-1.4,-3.76,0.96,1.4,-0.96,3.76,1.204081633,3.297513357,0.424562344,0.973913043,0.413486804,0.355622762
Li,2010,60,60,11.2,-1.73,-2.25,-1.21,1.73,1.21,2.25,0.265306122,1.453141477,1.190524135,0.993684211,1.183005036,0.181421086
Morel,2015,22,22,9.9,-0.25,-2.19,1.69,0.25,-1.69,2.19,0.989795918,3.282781679,0.076154927,0.98245614,0.074818876,0.296221672
Parnell,2009,21,17,7.9,-1.48,-4.85,1.89,1.48,-1.89,4.85,1.719387755,5.270067032,0.280831343,0.979591837,0.275100091,0.319597113
Reimer,2013,28,28,10.3,-0.2,-1.84,1.44,0.2,-1.44,1.84,0.836734694,3.130774549,0.063881955,0.98630137,0.06300686,0.263600129
Salinardi,2010,29,25,11.3,-0.4,-0.76,-0.04,0.4,0.04,0.76,0.183673469,0.673005405,0.594348867,0.985781991,0.58589841,0.269034983
Savastano,2014,59,29,9.9,-0.39,-2.35,1.57,0.39,-1.57,2.35,1,4.409442348,0.088446558,0.991354467,0.087681891,0.224825361
Walsh,1984,10,10,10.8,-3.18,-4.39,-1.97,3.18,1.97,4.39,0.617346939,1.380429721,2.303630493,0.96,2.211485274,0.429325052
