Author,Year,n_treat,n_control,WMD,LCI,UCI,se_md,pooled_sd,d,J,g,se_g
Jorde,2009,16,16,-0.6,-2.2,1,0.816326531,2.308920102,0.259861742,0.974789916,0.253310606,0.34464028
Eftekhari,2011,35,35,-1,-2.41,0.41,0.719387755,3.009414891,0.332290507,0.988929889,0.328612014,0.236399459
Shab-Bidar,2011,31,29,-1.9,-3.06,-0.74,0.591836735,2.290900033,0.829368358,0.987012987,0.818597341,0.254987356
Breslavsky,2013,24,23,0.39,-1.68,2.46,1.056122449,3.619385848,-0.107753087,0.983240223,-0.10594717,0.286905601
Yiu,2013,50,50,-0.52,-1.32,0.28,0.408163265,2.040816327,0.2548,0.992327366,0.252845013,0.198465473
Baziar,2014,41,40,-1.4,-2.46,-0.34,0.540816327,2.433487997,0.575305899,0.99047619,0.569826795,0.220122596
Kampmann,2014,7,8,-0.12,-1.55,1.31,0.729591837,1.409705357,0.085124171,0.941176471,0.080116867,0.487105101
Nikooyeh,2014,30,30,-1.5,-2.96,-0.04,0.744897959,2.884977391,0.519934751,0.987012987,0.513182351,0.254845657
Ryu,2014,79,79,0,-0.41,0.41,0.209183673,1.314699002,0,0.995184591,0,0.15834527
Yousefi Rad,2014,28,30,-0.4,-1.59,0.79,0.607142857,2.310556199,0.17311849,0.986547085,0.170789542,0.259234126
Al-Sofiani,2015,10,10,0,-2.62,2.62,1.336734694,2.989029643,0,0.957746479,0,0.428317246
Sadiya,2015,45,42,-0.6,-1.99,0.79,0.709183673,3.305445528,0.181518647,0.991150442,0.179912287,0.212651428
Shab-Bidar,2015,31,29,-1.21,-2.59,0.17,0.704081633,2.725381074,0.44397461,0.987012987,0.438208706,0.254987356
Anyanwu,2016,17,16,-1.33,-3.56,0.9,1.137755102,3.266451948,0.40716962,0.975609756,0.397238654,0.339819779
Hajimohammadi,2017,50,50,-1.9,-3.06,-0.74,0.591836735,2.959183673,0.642068966,0.992327366,0.637142605,0.198465473
Momeni,2017,29,28,0.15,-1.28,1.58,0.729591837,2.753724908,-0.054471672,0.98630137,-0.053725485,0.261317834
Salehi,2018,51,50,0,-1.04,1.04,0.530612245,2.666162841,0,0.992405063,0,0.19750567
Upreti,2018,30,30,-0.8,-1.79,0.19,0.505102041,1.956251792,0.408945312,0.987012987,0.403634334,0.254845657
Omidian,2019,32,34,-0.9,-1.93,0.13,0.525510204,2.133652226,0.421811947,0.988235294,0.416849454,0.24339849
El Hajj,2020,45,43,-0.01,-0.03,0.01,0.010204082,0.047849023,0.208990684,0.991253644,0.207162777,0.211390589
Imanparast,2020,23,23,0.35,-1.58,2.28,0.984693878,3.339259405,-0.10481366,0.982857143,-0.103016854,0.28982876
Safarpour,2020,42,43,1.1,-0.45,2.65,0.790816327,3.645230849,-0.301764153,0.990936556,-0.299029131,0.214979199
Cojic,2021,49,65,-0.49,-1.01,0.03,0.265306122,1.402327869,0.349418999,0.993288591,0.347073905,0.187920065
Mozaffari,2021,40,40,-0.1,-0.91,0.71,0.413265306,1.848178634,0.054107324,0.990353698,0.053585388,0.221449819
Behshad,2022,30,32,-0.7,-1.82,0.42,0.571428571,2.248545723,0.311312326,0.987447699,0.30740464,0.250942564
Derosa,2022,122,117,-0.08,-0.29,0.13,0.107142857,0.828012931,0.096616849,0.996832101,0.096310776,0.128987647
Hoseini,2022,10,10,-0.4,-0.49,-0.31,0.045918367,0.102676591,3.895727321,0.957746479,3.731119124,0.428317246
Mehta,2022,50,50,0.1,-0.3,0.5,0.204081633,1.020408163,-0.098,0.992327366,-0.097248082,0.198465473
Hu,2023,115,105,-2.32,-2.94,-1.7,0.316326531,2.343515593,0.989965677,0.996555683,0.986555921,0.134514574
Salarinia,2023,10,10,0.6,-2.23,3.43,1.443877551,3.228608355,-0.185838582,0.957746479,-0.177986248,0.428317246
