Author,Year,arm,n,md,lCI,uCI,se_md,pooled_sd,d,J,g,se_g,notes
Halschou-Jensen,2015,4900 mg L-Arabinose ,4.25,0.45,0.23,0.68,0.114795918,0.236657848,1.9014793,0.952380952,-1.810932667,0.461972619,
Halschou-Jensen,2015,2500 mg L-Arabinose ,4.25,0.34,0.11,0.58,0.119897959,0.247175975,1.375538217,0.952380952,-1.310036397,0.461972619,
Halschou-Jensen,2015,"10,200 mg L-Arabinose; Liquid meal ",2,0.53,-0.12,1.18,0.331632653,0.468999396,1.130065422,0.842105263,-0.95163404,0.595458342,
Halschou-Jensen,2015,"10,200 mg L-Arabinose; Semi-solid meal ",2,-0.09,-0.48,0.31,0.201530612,0.285007325,-0.315781357,0.842105263,0.265921143,0.595458342,
Halschou-Jensen,2015,"10,200 mg L-Arabinose; Solid meal ",2,-0.33,-0.65,-0.01,0.163265306,0.23089201,-1.429239581,0.842105263,1.203570174,0.595458342,
Helou,2019,Lean; Acesulfame  K ,15,-0.16,-0.33,0,0.084183673,0.326041965,-0.490734375,0.945454545,0.463967045,0.244115314,
Helou,2019,Obese; Acesulfame K ,15,-0.08,-0.39,0.24,0.160714286,0.622443752,-0.12852567,0.945454545,0.121515178,0.244115314,
Horwitz,1988,Healthy; Aspartame ,6,-0.05,-0.17,0.07,0.06122449,0.14996876,-0.333402771,0.930232558,0.310142112,0.379765852,
Horwitz,1988,Healthy; Saccharin ,6,-0.06,-0.16,0.05,0.053571429,0.131222665,-0.457238085,0.930232558,0.425337754,0.379765852,
Horwitz,1988,T2D; Aspartame ,5,0.21,-0.97,1.39,0.602040816,1.346204191,0.155994166,0.914285714,-0.142623238,0.408881002,
Horwitz,1988,T2D; Saccharin ,5,0.02,-1.13,1.17,0.586734694,1.31197866,0.01524415,0.914285714,-0.013937509,0.408881002,
Krog-Mikkelsen,2011,1000 mg L-Arabinose ,5,-0.28,-0.51,-0.04,0.119897959,0.268099987,-1.044386473,0.945454545,0.987419938,0.422820127,
