Author,Year,arm,n,md,lCI,uCI,se_md,pooled_sd,d,J,g,se_g,notes
Azari,2017,Saccharin,10,18.62,-33.99,71.22,26.83928571,84.87327363,0.219385906,0.914285714,-0.200581399,0.289122529,"J used total df for CO, while pooled_sd used split arm n"
Brown,2009,Healthy; Sucralose + Acesulfame K,25,13.04,-46.49,72.57,30.37244898,151.8622449,0.085867294,0.968421053,-0.083155695,0.193684211,
Burns,1991,Sucrose preload; Aspartame,8,1.17,-54.72,57.06,28.51530612,80.65346531,0.014506506,0.888888889,-0.012894672,0.314269681,
Burns,1991,Fasted; Aspartame,8,-6.08,-61.97,49.81,28.51530612,80.65346531,-0.075384238,0.888888889,0.067008211,0.314269681,
Cooper,1988,Saccharin,17,-4.92,-44.02,34.18,19.94897959,82.25174998,-0.059816357,0.952380952,0.056967959,0.23098631,
Ford,2011,Sucralose,8,-6.22,-11.44,-0.99,2.665816327,7.540067208,-0.824926334,0.888888889,0.733267852,0.314269681,
Gregersen,2004,Stevioside,12,27.04,-7.95,62.03,17.85204082,61.84128343,0.437248364,0.930232558,-0.406742664,0.268535009,
Halschou-Jensen,2015,5900 mg L-Arabinose,4.25,25.64,0.22,51.07,12.97193878,26.74233687,0.958779336,0.952380952,-0.913123178,0.461972619,
Halschou-Jensen,2015,2900 mg L-Arabinose,4.25,6.73,-14.21,27.66,10.68112245,22.01969803,0.305635436,0.952380952,-0.291081367,0.461972619,
Halschou-Jensen,2015,4900 mg L-Arabinose,4.25,18.63,0.72,36.54,9.137755102,18.83796473,0.98896034,0.952380952,-0.94186699,0.461972619,
Halschou-Jensen,2015,2500 mg L-Arabinose,4.25,24.87,5.39,44.34,9.93622449,20.48405155,1.214115281,0.952380952,-1.156300268,0.461972619,
Halschou-Jensen,2015,"10,200 mg L-Arabinose; Liquid meal",2,11.01,-111.92,133.95,62.72193878,88.70221647,0.124123167,0.842105263,-0.104524772,0.595458342,
Halschou-Jensen,2015,"10,200 mg L-Arabinose; Semisolid meal",2,-50.31,-122.46,21.84,36.81122449,52.05893292,-0.966404749,0.842105263,0.813814525,0.595458342,
Halschou-Jensen,2015,"10,200 mg L-Arabinose; Solid meal",2,72.69,-57.67,203.05,66.51020408,94.05963265,0.772807611,0.842105263,-0.650785357,0.595458342,
Helou,2019,Lean; Acesulfame K,15,8.54,-24.99,42.07,17.10714286,66.25567939,0.128894611,0.945454545,-0.121863996,0.244115314,
Helou,2019,Obese; Acesulfame K,15,-55.62,-141.27,30.02,43.69642857,169.2355401,-0.328654371,0.945454545,0.310727769,0.244115314,
