Author,Year,n_treat,n_control,md,lCI,uCI,se_md,pooled_sd,d,J,g,se_g
AI-Dujaili,2017,16,16,-0.3,-1.58,0.98,0.653061224,1.847136081,-0.162413589,0.974789916,0.158319129,0.34464028
Blackburn,1997,71,65,0,-0.5,0.5,0.255102041,1.487487728,0,0.994392523,0,0.170536911
Bueno-Hernandez,2020,61,34,0.05,-0.49,0.59,0.275510204,1.34267065,0.037239214,0.991913747,-0.036938089,0.203536406
Campos,2015,14,13,-0.9,-2.23,0.43,0.678571429,1.762980286,-0.510499185,0.96969697,0.495029513,0.373236538
Ebbeling,2020,67,136,-0.12,-0.59,0.36,0.242346939,1.726456187,-0.069506542,0.99626401,0.069246867,0.139848051
Engel,2018,15,30,-0.14,-0.95,0.67,0.413265306,1.386133976,-0.101000338,0.98245614,0.099228402,0.292911829
Han,2018,40,81,0.27,0.01,0.53,0.132653061,0.729591837,0.37006993,0.993684211,-0.367732646,0.180669856
Higgins,2019,115,39,-0.48,-0.74,-0.21,0.135204082,0.838919264,-0.572164713,0.995057661,0.569336881,0.160368063
Kanders,1988,28,27,-0.98,-1.48,-0.48,0.255102041,0.945943685,-1.036002477,0.985781991,1.021272584,0.265845633
Kassi,2016,19,19,-0.57,-4.61,3.46,2.058673469,6.345257781,-0.089830866,0.979020979,0.087946302,0.317636349
Kim,2020,39,39,0.5,-0.96,1.96,0.744897959,3.289380323,0.152004314,0.99009901,-0.150499321,0.224213274
Madjd,2018,36,35,0.9,0.31,1.49,0.301020408,1.268221522,0.709655202,0.989090909,-0.701913509,0.23476699
Markey,2016,50,50,-0.1,-0.57,0.37,0.239795918,1.198979592,-0.083404255,0.992327366,0.082764325,0.198465473
Mclay-Cooke,2016,63,53,-0.24,-0.44,-0.05,0.099489796,0.535768948,-0.447954293,0.993406593,0.445000748,0.184470973
Njike,2011,32,33,-0.1,-0.42,0.22,0.163265306,0.65814349,-0.15194255,0.988047809,0.150126503,0.245104495
Raben,2002,20,21,-0.9,-1.45,-0.35,0.280612245,0.898397533,-1.001783694,0.980645161,0.982394333,0.306302088
Reid,2007,65,68,-0.3,-0.64,0.04,0.173469388,1.000273286,-0.299918037,0.994263862,0.298197665,0.172427221
Romo-Romo,2018,30,31,-0.15,-0.45,0.15,0.153061224,0.597723189,-0.250952285,0.987234043,0.247748638,0.252804733
SagrarioLopez-Meza,2021,26,13,-0.17,-0.68,0.34,0.260204082,0.812486984,-0.209234121,0.979591837,0.204964037,0.313720465
Sanchez-Delgado,2021,26,12,-0.28,-0.96,0.41,0.349489796,1.077199896,-0.259933185,0.979020979,0.254480041,0.317636349
Stamataki,2020,14,14,-0.4,-0.5,-0.3,0.051020408,0.134987312,-2.963241468,0.970873786,2.876933464,0.366955799
Vazquez-Duran,2016,49,87,0.43,-0.12,0.98,0.280612245,1.636236501,0.262798196,0.994392523,-0.261324561,0.170536911
Viveros-Watty,2021,21,24,1,0.16,1.85,0.431122449,1.446028654,0.691549229,0.98245614,-0.679416786,0.292911829
