Author,Year,n,Control,d,se_d,lCI_d,uCI_d,J,g,se_g
Hutchisona,2019,42,100% baseline energy daily,-0.612,0.468,-1.529,0.305,0.981595092,0.600736196,0.459386503
Hutchisonb,2019,42,100% baseline energy daily,-0.591,0.502,-1.575,0.393,0.981595092,0.580122699,0.492760736
Zhanga,2022,40,Ad libitum intake,0.034,0.384,-0.719,0.787,0.980645161,-0.033341935,0.376567742
Zhangb,2022,40,Ad libitum intake,0.629,0.41,-0.174,1.432,0.980645161,-0.616825806,0.402064516
Kord Varkaneh,2022,44,Continue usual habitual diet,-0.929,0.318,-1.551,-0.306,0.98245614,0.912701754,0.312421053
Lao,2023,27,Continue usual habitual diet,0.483,0.391,-0.283,1.249,0.970873786,-0.468932039,0.37961165
Ezpeleta,2023,39,Habitual diet,-0.56,0.327,-1.2,0.08,0.98013245,0.548874172,0.320503311
Hirsh,2019,22,Habitual diet,0.13,0.429,-0.71,0.97,0.963855422,-0.125301205,0.413493976
Sulaj,2022,40,Mediterranean diet,-0.158,0.317,-0.78,0.463,0.980645161,0.154941935,0.310864516
Schübel,2018,101,No advice to restrict energy,-0.433,0.205,-0.834,-0.032,0.992481203,0.429744361,0.203458647
Holmer,2021,44,Nutrition advice,0.188,0.286,-0.374,0.749,0.98245614,-0.184701754,0.280982456
Denga,2024,20,Pre-post (no control),-0.582,0.242,-1.056,-0.108,0.957746479,0.557408451,0.231774648
Dengb,2024,20,Pre-post (no control),-0.751,0.253,-1.248,-0.255,0.957746479,0.719267606,0.242309859
Ingersena,2022,12,Pre-post (no control),-0.071,0.302,-0.662,0.521,0.923076923,0.065538462,0.278769231
Ingersenb,2022,11,Pre-post (no control),-0.069,0.302,-0.661,0.523,0.914285714,0.063085714,0.276114286
Xiao,2022,31,Pre-post (no control),-0.735,0.202,-1.131,-0.338,0.973913043,0.715826087,0.196730435
Johari,2019,43,Usual habitual diet,-0.344,0.363,-1.055,0.368,0.982035928,0.337820359,0.356479042
Teong,2023,103,Weight loss booklet,-0.305,0.215,-0.727,0.116,0.992628993,0.302751843,0.213415233
