Subgroup,Author,Year,HP_Mean,HP_SD,HP_N,SP_Mean,SP_SD,SP_N,Weight_%,ES,CI_Lower,CI_Upper,SE,pooled_sd,d,J,g,se_g
>=12 Weeks,Belobrajdic,2010,-1.9,3,34,-3.1,4.3,42,3.6,1.2,0.45,2.85,0.612244898,3.775973116,0.317798873,0.989830508,0.31456702,0.160493377
>=12 Weeks,Campbell,2010,-1.6,1.1,13,-2.2,1.6,15,7.4,0.6,-0.41,1.61,0.515306122,1.391733838,0.431116916,0.970873786,0.418560112,0.359477647
>=12 Weeks,Evangelista,2009,0.6,1,5,-0.3,0.3,5,8.3,0.9,0.02,1.82,0.459183673,0.738241153,1.219113831,0.903225806,1.101135073,0.561803608
>=12 Weeks,Farnsworth F,2003,-0.1,1.4,21,-1.5,1.4,22,9.2,1.4,0.56,2.24,0.428571429,1.4,1,0.981595092,0.981595092,0.300488294
>=12 Weeks,Farnsworth M,2003,-2.5,7.4,7,-1.9,5.6,7,0.2,-0.6,-7.47,6.27,3.505102041,6.562011887,-0.091435372,0.936170213,-0.085599072,0.500055803
>=12 Weeks,Layman,2009,-2.6,1.4,52,-2.4,1.4,51,13.4,-0.2,-0.74,0.34,0.275510204,1.4,-0.142857143,0.992555831,-0.14179369,0.195328043
>=12 Weeks,Leidy,2007,-1.5,1.4,21,-2.8,2.5,25,6.2,1.3,0.15,2.45,0.586734694,2.073644135,0.626915669,0.982857143,0.616168543,0.278098047
>=12 Weeks,Luscombe,2003,-1.2,2.45,17,-1.69,1.49,19,4.9,0.49,-0.85,1.83,0.683673469,2.000013235,0.244998379,0.977777778,0.23955397,0.334238151
>=12 Weeks,Noakes,2005,-1.5,2.2,52,-1.8,2.1,48,9.1,0.3,-0.54,1.14,0.428571429,2.152620615,0.139365013,0.992327366,0.138295716,0.197565309
>=12 Weeks,Treyzon,2008,-2.78,4.11,44,-4.06,11.14,41,0.9,1.28,-2.34,4.9,1.846938776,8.27999789,0.154589411,0.990936556,0.153188299,0.221038601
>=12 Weeks,Wycherley,2010,-1.9,1.5,12,-2.2,1.9,16,5.4,0.3,-0.96,1.56,0.642857143,1.742014749,0.172214386,0.970873786,0.167198433,0.358282356
<12 Weeks,Baba,1999,-1.2,1.1,7,0.3,1.5,6,4.4,-1.5,-2.95,-0.05,0.739795918,1.297199781,-1.15633692,0.930232558,-1.075662251,0.530513695
<12 Weeks,Johnston,2004,-2.1,1.3,9,-1.74,1.12,7,5.9,-0.36,-1.55,0.83,0.607142857,1.226097176,-0.293614574,0.945454545,-0.277599234,0.46817331
<12 Weeks,Kasim-Karakas,2009,-0.3,1.3,11,-0.6,1.1,13,7.7,0.3,-0.67,1.27,0.494897959,1.195065613,0.251032242,0.965517241,0.242375958,0.399837889
<12 Weeks,Layman,2003,-0.88,1.14,12,-1.21,2.01,12,5.1,0.33,-0.98,1.64,0.668367347,1.633967564,0.201962393,0.965517241,0.194998173,0.394940641
<12 Weeks,Parker,2002,-0.61,1.87,26,-1.4,2.88,28,5.3,0.79,-0.5,2.08,0.658163265,2.447020559,0.322841587,0.985507246,0.318162723,0.26506711
<12 Weeks,Torbay,2002,-0.2,2.1,7,-0.7,1.3,7,3,0.5,-1.33,2.33,0.933673469,1.74642492,0.286299167,0.936170213,0.268024752,0.5004952
