Subgroup,Author,Year,HP_Mean,HP_SD,HP_N,SP_Mean,SP_SD,SP_N,Weight_%,ES,CI_Lower,CI_Upper,SE,pooled_sd,d,J,g,se_g
>=12 Weeks,Belobrajdic,2010,-8.8,5,34,-8.5,4,42,4.3,0.3,-1.77,2.37,1.056122449,4.473646557,0.067059388,0.989830508,0.066377428,0.23367564
>=12 Weeks,Campbell,2010,-8.2,1.8,13,-9.1,3.1,15,4.6,-0.9,-2.75,0.95,0.943877551,2.582634314,-0.348481392,0.970873786,-0.338331448,0.354826065
>=12 Weeks,Evangelista,2009,-9.9,2,5,-5.6,0.8,5,4.6,4.3,2.41,6.19,0.964285714,1.523154621,2.823088306,0.903225806,2.549886212,0.571818336
>=12 Weeks,Farnsworth F,2003,-6.6,2.3,21,-7.4,2.3,22,5.4,-0.8,-2.18,0.58,0.704081633,2.3,-0.347826087,0.981595092,-0.34142438,0.300488294
>=12 Weeks,Farnsworth M,2003,-11.4,5.6,7,-9.6,4.5,7,1.4,1.8,-3.52,7.12,2.714285714,5.079862203,0.35434032,0.936170213,0.331722853,0.500217001
>=12 Weeks,Flechtner-Mors,2010,-8.82,4.52,49,-4.24,3.91,53,5,4.58,2.93,6.23,0.841836735,4.213834833,1.086895947,0.992481203,1.078723797,0.198277144
>=12 Weeks,Lasker,2008,-9.1,4.5,25,-6.9,4,25,3.9,2.2,-0.16,4.56,1.204081633,4.257346591,0.516753793,0.984293194,0.508637241,0.278382164
>=12 Weeks,Layman,2009,-8.2,3.6,52,-7,3.6,51,5.4,1.2,-0.19,2.59,0.709183673,3.6,0.333333333,0.992555831,0.330851944,0.195528997
>=12 Weeks,Leidy,2007,-8.1,1.8,21,-9.5,5,25,4.2,-1.4,-3.51,0.71,1.076530612,3.887041408,-0.360171105,0.982857143,-0.353996743,0.272205951
>=12 Weeks,Luscombe,2003,-7.9,4.5,17,-8,2.9,19,3.7,-0.1,-2.61,2.41,1.280612245,3.739219799,-0.026743547,0.977777778,-0.026149246,0.334870444
>=12 Weeks,Noakes,2005,-7.6,3.9,52,-6.9,4.3,48,5,0.7,-0.91,2.31,0.821428571,4.096713466,0.170868675,0.992327366,0.169557662,0.198970725
>=12 Weeks,Treyzon,2008,-4.19,3.32,44,-3.72,4.48,41,4.9,0.47,-1.22,2.16,0.862244898,3.922101723,0.11983371,0.990936556,0.118747604,0.217850033
>=12 Weeks,Wycherley,2010,-9,4.8,12,-8.6,4.6,16,2.5,0.4,-3.13,3.93,1.801020408,4.68565733,0.085366891,0.970873786,0.082880477,0.373173576
<12 Weeks,Baba,1999,-8.3,1.9,7,-6,1.5,6,4.6,2.3,0.45,4.15,0.943877551,1.729687308,1.329720112,0.930232558,1.236948941,0.507621016
<12 Weeks,Johnston,2004,-4.56,1.59,9,-4.77,2.09,7,4.6,-0.21,-2.07,1.65,0.948979592,1.821173091,-0.115310291,0.945454545,-0.109020639,0.492658865
<12 Weeks,Kasim-Karakas,2009,-3.4,2.7,11,-1.1,2.2,13,4.4,2.3,0.31,4.29,1.015306122,2.440007452,0.942620072,0.965517241,0.910115932,0.401759251
<12 Weeks,Kleiner,2006,-4.1,1.8,9,-4.9,1.9,7,4.7,-0.8,-2.63,1.03,0.933673469,1.843521475,-0.433952092,0.945454545,-0.410281978,0.478836747
<12 Weeks,Krauss,2006,-5,2.6,42,-5.3,2.1,49,6,-0.3,-1.28,0.68,0.5,2.343626308,-0.128006756,0.991549296,-0.126925008,0.211541681
<12 Weeks,Labayen,2004,-9.2,3.7,6,-4.8,2.5,5,2.4,4.4,0.72,8.08,1.87755102,3.222318006,1.365476651,0.914285714,1.248435795,0.532727705
<12 Weeks,Layman,2003,-7.53,4.99,12,-6.96,4.71,12,2.2,0.57,-3.31,4.45,1.979591837,4.852020198,0.11747684,0.965517241,0.113425914,0.393924586
<12 Weeks,Parker,2002,-6.07,2.64,26,-4.62,3.43,28,5,1.45,-0.18,3.08,0.831632653,3.075624702,0.471448938,0.985507246,0.464616345,0.266475947
<12 Weeks,Stamets,2004,-3.7,1.9,13,-4.4,1.5,13,5.5,-0.7,-2.02,0.62,0.673469388,1.711724277,-0.408944366,0.968421053,-0.396030334,0.381020438
<12 Weeks,Torbay,2002,-6.6,0.8,7,-7.2,1.3,7,5.8,-0.6,-1.73,0.53,0.576530612,1.079351657,-0.555889266,0.936170213,-0.520406972,0.500050917
