author,year,wmd,lci,uci,n_treat,n_control,se_wmd,pooled_sd,d,se_d,J,g,se_g
Ramezankhany,2011,1.65,-4.01,7.31,12,12,2.887755102,7.073526502,0.233264129,0.40824829,0.965517241,0.225220539,0.394170763
Bhutani (b),2013,16,-2.59,34.59,16,16,9.484693878,26.82676543,0.596419275,0.353553391,0.974789916,0.581383495,0.34464028
Mahon (a),2007,-15,-27.56,-2.44,14,11,6.408163265,15.90464296,-0.943120826,0.402911482,0.967032967,-0.91202893,0.389628686
Tapsell (a),2010,5.41,0.44,10.38,21,26,2.535714286,8.642665601,0.625964286,0.293394932,0.983240223,0.615473264,0.288477698
Bowen,2018,-3.86,-7.52,-0.2,67,68,1.867346939,10.84800777,-0.355825704,0.172137316,0.994350282,-0.353815389,0.171164789
Ismail,2015,16.62,13.22,20.02,56,84,1.734693878,10.05524101,1.652869383,0.17251639,0.994555354,1.643870094,0.171577099
Lambert (a),2017,-1.93,-6.77,2.91,10,6,2.469387755,4.781948825,-0.403601141,0.516397779,0.945454545,-0.381586533,0.488230628
Hirsh,2019,5,-1.81,11.81,10,12,3.474489796,8.114659913,0.616168768,0.428174419,0.962025316,0.592769954,0.411914631
Bhutani (a),2013,-8,-20.55,4.55,16,16,6.403061224,18.11059205,-0.441730451,0.353553391,0.974789916,-0.43059439,0.34464028
Moro,2016,3.16,-2.29,8.61,17,17,2.780612245,8.106808119,0.38979583,0.34299717,0.976377953,0.380588055,0.334894875
Astbury,2018,3.87,0.36,7.38,89,76,1.790816327,11.46597188,0.337520451,0.156185306,0.995391705,0.335965057,0.155465558
Kessler,2018,-1.55,-5.22,2.12,20,13,1.87244898,5.255810485,-0.294911699,0.356262652,0.975609756,-0.287718731,0.347573319
Mahon (b),2007,-3,-15.01,9.01,15,11,6.12755102,15.4362653,-0.194347528,0.396958131,0.968421053,-0.188210237,0.384422611
do Valle,2010,-1.1,-3.05,0.85,10,10,0.994897959,2.224659467,-0.494457698,0.447213595,0.957746479,-0.47356512,0.428317246
Shojasaadat,2019,-1.57,-4.67,1.53,35,34,1.581632653,6.568323855,-0.239025973,0.240796996,0.988764045,-0.236340288,0.238091412
Varady,2013,-3,-10.06,4.06,15,15,3.602040816,9.864595041,-0.304117907,0.365148372,0.972972973,-0.295898504,0.355279497
Teng,2013,0,-4.7,4.7,28,28,2.397959184,8.972341693,0,0.267261242,0.986046512,0,0.263532015
Khoo,2010,3.86,0.46,7.26,25,24,1.734693878,6.070164086,0.635897143,0.285773803,0.983957219,0.625695585,0.281189197
Karimi,2016,-0.5,-3.42,2.42,30,30,1.489795918,5.769954781,-0.086655792,0.25819889,0.987012987,-0.085530392,0.254845657
Tapsell (b),2010,-1.93,-5.28,1.42,27,21,1.709183673,5.87434767,-0.328547118,0.290957187,0.983606557,-0.3231611,0.286187397
Cho (b),2019,-5.2,-12.68,2.28,9,9,3.816326531,8.095651107,-0.642320171,0.471404521,0.952380952,-0.611733496,0.448956686
Fernandes,2015,-0.38,-4.95,4.19,11,10,2.331632653,5.336380935,-0.071209309,0.436931449,0.96,-0.068360937,0.419454191
Ong,2009,-7.73,-15.68,0.22,10,9,4.056122449,8.827861513,-0.875636754,0.459468292,0.955223881,-0.836429138,0.438895085
Li,2017,8.8,-3.11,20.71,16,16,6.076530612,17.18702401,0.51201418,0.353553391,0.974789916,0.499106259,0.34464028
Lee,2017,3.86,-4.32,12.04,30,30,4.173469388,16.16377743,0.238805565,0.25819889,0.987012987,0.235704194,0.254845657
Zuo,2016,6.9,-4.03,17.83,10,14,5.576530612,13.46860101,0.512302651,0.414039336,0.965517241,0.494637042,0.399762117
Mahon (c),2007,-5,-15.57,5.57,14,11,5.392857143,13.38471943,-0.373560314,0.402911482,0.967032967,-0.361245139,0.389628686
Lambert (b),2017,-1.55,-6.75,3.65,11,10,2.653061224,6.072030823,-0.255268796,0.436931449,0.96,-0.245058045,0.419454191
Cho (a),2019,-2.8,-12.28,6.68,8,5,4.836734694,8.484193901,-0.330025461,0.570087713,0.930232558,-0.307000428,0.530314151
Trepanowski (ADF),2017,2.2,0.43,3.97,25,25,0.903061224,3.192803578,0.689049591,0.282842712,0.984293194,0.678226823,0.278400157
Trepanowski (CR),2017,-4,-5.72,-2.28,29,25,0.87755102,3.215470273,-1.243985999,0.272915296,0.985507246,-1.225957216,0.268960002
Tinsley,2019,1,-2.82,4.82,13,14,1.948979592,5.060123347,0.197623641,0.385164443,0.96969697,0.191635046,0.373492793
Harder-Lauridsen,2017,0,-1.29,1.29,10,10,0.658163265,1.471697802,0,0.447213595,0.957746479,0,0.428317246
Wei,2017,0.3,-4.07,4.67,30,37,2.229591837,9.075058926,0.033057637,0.245683456,0.988416988,0.03267473,0.242837701
