author,year,wmd,lci,uci,n_treat,n_control,se_wmd,pooled_sd,d,se_d,J,g,se_g
Lambert (a),2017,-13.14,-34.97,8.69,10,6,11.1377551,21.56817001,-0.609231103,0.516397779,0.945454545,0.576000315,0.488230628
Wei,2017,2.8,-5.28,10.88,30,37,4.12244898,16.77951399,0.166870149,0.245683456,0.988416988,-0.16493729,0.242837701
Izadi,2018,-2.1,-3.85,-0.35,30,30,0.892857143,3.458020845,-0.607283789,0.25819889,0.987012987,0.599396986,0.254845657
Tapsell (b),2010,-7.76,-22,6.48,27,21,7.265306122,24.97036144,-0.310768429,0.290957187,0.983606557,0.305673865,0.286187397
Ong,2009,-38.66,-56.07,-21.25,10,9,8.882653061,19.3324615,-1.99974535,0.459468292,0.955223881,1.910204514,0.438895085
Lee,2017,-27.07,-62.2,8.06,30,30,17.92346939,69.41729845,-0.389960436,0.25819889,0.987012987,0.384896015,0.254845657
Bhutani (a),2013,-4,-19.31,11.31,16,16,7.81122449,22.09347922,-0.181048895,0.353553391,0.974789916,0.176484637,0.34464028
Hirsh,2019,-4.1,-17.97,9.77,10,12,7.076530612,16.52721483,-0.248075677,0.428174419,0.962025316,0.238655081,0.411914631
Kessler,2018,-9.28,-20.8,2.24,20,13,5.87755102,16.49780294,-0.562499142,0.356262652,0.975609756,0.548779651,0.347573319
Cho (a),2019,-16.9,-48.3,14.5,8,5,16.02040816,28.1016549,-0.60138807,0.570087713,0.930232558,0.559430763,0.530314151
Teng,2013,-15.08,-33.33,3.17,28,28,9.31122449,34.83941189,-0.432843127,0.267261242,0.986046512,0.426803456,0.263532015
Mahon (a),2007,-10,-47.75,27.75,14,11,19.26020408,47.8025694,-0.209193776,0.402911482,0.967032967,0.202297278,0.389628686
Zuo,2016,-15.2,-40.82,10.42,10,14,13.07142857,31.57049934,-0.481462135,0.414039336,0.965517241,0.464859992,0.399762117
Li,2017,5.2,-10.47,20.87,16,16,7.994897959,22.61298625,0.22995636,0.353553391,0.974789916,-0.224159141,0.34464028
Trepanowski (CR),2017,-7.5,-9.87,-5.13,29,25,1.209183673,4.430618923,-1.692765758,0.272915296,0.985507246,1.668232921,0.268960002
Tapsell (a),2010,-1.93,-10.82,6.96,21,26,4.535714286,15.45941593,-0.124843009,0.293394932,0.983240223,0.122750668,0.288477698
Lambert (b),2017,-27.83,-43.42,-12.24,11,10,7.954081633,18.20441549,-1.52874999,0.436931449,0.96,1.467599991,0.419454191
Trepanowski (ADF),2017,-5.1,-7.56,-2.64,25,25,1.255102041,4.437455821,-1.149307217,0.282842712,0.984293194,1.131255271,0.278400157
Shojasaadat,2019,-7.65,-18.57,3.27,35,34,5.571428571,23.13745048,-0.330632798,0.240796996,0.988764045,0.326917823,0.238091412
Karimi,2016,-7.2,-18.88,4.48,30,30,5.959183673,23.07981912,-0.31196085,0.25819889,0.987012987,0.307909411,0.254845657
Moro,2016,-4.82,-12.44,2.8,17,17,3.887755102,11.33465649,-0.425244471,0.34299717,0.976377953,0.415199326,0.334894875
Bhutani (b),2013,-12,-25.86,1.86,16,16,7.071428571,20.00102038,-0.59996939,0.353553391,0.974789916,0.584844111,0.34464028
Astbury,2018,0,-7.89,7.89,89,76,4.025510204,25.7739368,0,0.156185306,0.995391705,0,0.155465558
Tinsley,2019,-15,-20.48,-9.52,13,14,2.795918367,7.259025116,-2.066393181,0.385164443,0.96969697,2.003775206,0.373492793
Varady,2013,-9,-23.13,5.13,15,15,7.209183673,19.7431626,-0.455854018,0.365148372,0.972972973,0.443533639,0.355279497
Mahon (b),2007,-6,-41.46,29.46,15,11,18.09183673,45.57618382,-0.131647705,0.396958131,0.968421053,0.127490409,0.384422611
Fernandes,2015,-4.26,-17.55,9.03,11,10,6.780612245,15.51870955,-0.274507361,0.436931449,0.96,0.263527066,0.419454191
Khoo,2010,-3.87,-20.89,13.15,25,24,8.683673469,30.38652728,-0.127359075,0.285773803,0.983957219,0.125315881,0.281189197
Harder-Lauridsen,2017,0,-5.08,5.08,10,10,2.591836735,5.795523125,0,0.447213595,0.957746479,0,0.428317246
Cho (b),2019,-8.9,-33.57,15.77,9,9,12.58673469,26.70049637,-0.333327137,0.471404521,0.952380952,0.317454416,0.448956686
Mahon (c),2007,-7,-37.64,23.64,14,11,15.63265306,38.79922454,-0.180415977,0.402911482,0.967032967,0.174468197,0.389628686
Ramezankhany,2011,-2.6,-17.72,12.52,12,12,7.714285714,18.89606373,-0.137594794,0.40824829,0.965517241,0.132850146,0.394170763
do Valle,2010,-8.5,-18.24,1.24,10,10,4.969387755,11.11188883,-0.764946458,0.447213595,0.957746479,0.732624777,0.428317246
Bowen,2018,0,-10.83,10.83,67,68,5.525510204,32.09943282,0,0.172137316,0.994350282,0,0.171164789
