author,year,wmd,lCI,uCI,n_control,n_treat,n_total,se_md,pooled_sd,d,se_d,J,g,se_g
Antoni,2018,-0.3,-10.86,10.26,12,15,,5.387755102,13.91112386,-0.021565475,0.387298335,0.96969697,0.020911976,0.375562021
Arguin,2012,-0.7,-2.55,1.15,10,12,,0.943877551,2.204423031,-0.317543407,0.428174419,0.962025316,0.305484797,0.411914631
Bhutani,2013,-3,-14.89,8.89,16,25,,6.066326531,18.9480207,-0.158327883,0.320156212,0.980645161,0.155263472,0.31395964
Bowen,2018,2.5,-3.28,8.28,81,82,,2.948979592,18.82467125,0.132804444,0.156655038,0.99533437,-0.132184828,0.155924144
Byrne,2018,-2.3,-8.56,3.96,25,26,,3.193877551,11.40223144,-0.201714902,0.280109869,0.984615385,0.198611596,0.275800486
Cai (a),2019,-2.87,-5.19,-0.55,79,90,,1.183673469,7.677562518,-0.373816559,0.154173081,0.995502249,0.372135225,0.153479649
Cai (b),2019,-2.14,-4.41,0.13,79,95,,1.158163265,7.606248501,-0.281347631,0.152264716,0.995633188,0.280119039,0.151599804
Carter,2018,-1.8,-4.02,0.42,67,70,,1.132653061,6.627092628,-0.271612319,0.170912514,0.994434137,0.270100563,0.169961238
Carter,2016,-1,-9.51,7.51,32,31,,4.341836735,17.2289595,-0.05804181,0.252008064,0.987654321,0.057325245,0.248896854
Catenacci,2016,-1.2,-14,11.6,12,13,,6.530612245,16.31346416,-0.073558871,0.400320385,0.967032967,0.071133853,0.387123009
Cho (a),2019,-1.9,-3.56,-0.24,9,9,,0.846938776,1.796628454,-1.057536407,0.471404521,0.952380952,1.00717753,0.448956686
Cho (b),2019,-1.9,-4.13,0.33,9,8,,1.137755102,2.341480683,-0.811452349,0.485912658,0.949152542,0.77019206,0.461205235
Chow,2020,-2.1,-24.62,20.42,9,11,,11.48979592,25.56318213,-0.082149397,0.449466575,0.957746479,0.078678296,0.43047503
Conley,2018,0.2,-10.72,11.12,12,11,,5.571428571,13.34718299,0.014984435,0.417423555,0.963855422,-0.014442829,0.402335957
Corley,2018,-0.5,-13.51,12.51,18,19,,6.637755102,20.18056942,-0.024776308,0.328918127,0.978417266,0.024241567,0.321819175
Coutinho,2018,-2.1,-12.13,7.93,14,14,,5.117346939,13.53922737,-0.155104863,0.377964473,0.970873786,0.150587245,0.366955799
de Oliveira Maranhao Pureza,2020,-0.06,-6.43,6.31,27,31,,3.25,12.34616547,-0.004859809,0.263239628,0.986547085,0.00479443,0.259698287
Domaszewski,2020,-1.91,-9.62,5.8,20,25,,3.933673469,13.1122449,-0.14566537,0.3,0.98245614,0.143109837,0.294736842
Gabel (a),2019,-8,-25.91,9.91,17,11,,9.137755102,23.61463852,-0.338772918,0.386952995,0.970873786,0.328905746,0.375682519
Gabel (b),2019,-3,-20.9,14.9,15,11,,9.132653061,23.00659025,-0.130397419,0.396958131,0.968421053,0.126279606,0.384422611
Gasmi (young),2018,-0.4,-5.04,4.24,10,10,,2.367346939,5.293548681,-0.075563676,0.447213595,0.957746479,0.072370845,0.428317246
Gasmi (older),2018,-0.55,-6.05,4.95,10,10,,2.806122449,6.274680549,-0.087653865,0.447213595,0.957746479,0.08395018,0.428317246
Harvie,2011,-1.2,-8.23,5.83,54,53,,3.586734694,18.54992592,-0.064690285,0.193355742,0.992840095,0.064227109,0.191971334
Harvie (b),2013,-1.1,-9.23,7.03,40,37,,4.147959184,18.18527904,-0.060488486,0.228094338,0.989966555,0.059881578,0.225805766
Harvie (a),2013,-1.3,-8.93,6.33,40,38,,3.892857143,17.18473974,-0.075648513,0.226529886,0.99009901,0.074899517,0.224287016
Hirsh,2019,-0.9,-8.72,6.92,12,10,,3.989795918,9.31815573,-0.096585636,0.428174419,0.962025316,0.092917827,0.411914631
Hutchison (a),2018,-1.5,-2.75,-0.25,26,25,,0.637755102,2.276803403,-0.658818411,0.280109869,0.984615385,0.648682743,0.275800486
Hutchison (b),2018,-3.1,-4.35,-1.85,12,25,,0.637755102,1.815991063,-1.707056859,0.351188458,0.978417266,1.670213905,0.343608851
Keogh,2014,2.1,-1.06,5.26,17,19,,1.612244898,4.829264829,0.434848797,0.33384893,0.977777778,-0.42518549,0.326430065
Li,2017,-1.5,-4.72,1.72,23,23,,1.642857143,5.571199629,-0.269241833,0.294883912,0.982857143,0.264626259,0.28982876
Lowe,2020,-1.13,-2.34,0.08,57,59,,0.617346939,3.324020841,-0.339949734,0.185722945,0.993406593,0.337708307,0.184498398
Panizza,2019,-2.6,-4.4,-0.8,30,30,,0.918367347,3.55682144,-0.730989746,0.25819889,0.987012987,0.721496372,0.254845657
Parvaresh,2019,-2.4,-3.71,-1.09,34,35,,0.668367347,2.775646532,-0.864663412,0.240796996,0.988764045,0.854948092,0.238091412
Pinto,2020,1.2,-9.43,11.83,22,21,,5.423469388,17.77722434,0.067502101,0.30507965,0.981595092,-0.066259731,0.299464687
Stekovic,2019,-3.8,-9.73,2.13,30,30,,3.025510204,11.71775063,-0.324294322,0.25819889,0.987012987,0.320082708,0.254845657
Stote,2007,-1.4,-10.98,8.18,,,15,4.887755102,18.93019411,-0.073955924,0.25819889,0.945454545,0.069921965,0.244115314
Stratton,2020,0.2,-9.77,10.17,13,13,,5.086734694,12.96867973,0.01542177,0.39223227,0.968421053,-0.014934767,0.379845988
Sundfor,2018,0.3,-1.63,2.23,58,54,,0.984693878,5.207186145,0.05761269,0.189102876,0.993166287,-0.057218981,0.187810602
Teng,2011,-3.1,-8.83,2.63,12,13,,2.923469388,7.30282419,-0.424493308,0.400320385,0.967032967,0.410499023,0.387123009
Teng,2013,-2.5,-6.44,1.44,28,28,,2.010204082,7.521494951,-0.332380732,0.267261242,0.986046512,0.327742862,0.263532015
Tinsley,2016,-4,-26.69,18.69,8,10,,11.57653061,24.40546942,-0.163897687,0.474341649,0.952380952,0.156093036,0.451753951
Tinsley,2019,-0.5,-7.38,6.38,14,13,,3.510204082,9.113520583,-0.05486354,0.385164443,0.96969697,0.053201008,0.373492793
Wei,2017,-2.6,-9.5,4.3,48,52,,3.520408163,17.58795355,-0.147828455,0.200160192,0.992327366,0.146694221,0.198624436
Williams (a),1998,-4.2,-8.22,-0.18,18,18,,2.051020408,6.153061224,-0.682587065,0.333333333,0.977777778,0.667418463,0.325925926
Williams (b),1998,-5,-8.98,-1.02,18,18,,2.030612245,6.091836735,-0.820770519,0.333333333,0.977777778,0.802531174,0.325925926
