Author,,loading_dose,total_dose,duration,training,t0-t1,d,lCI,uCI,se_d,J,g,se_g,notes
Azizi,Recreation,20,120,6,Strength,7,0.21,-0.67,1.09,0.448979592,1,0.21,0.448979592,"n not available, d used"
Bemben,Competition,20,390,63,Strength,63,0.22,-0.74,1.17,0.487244898,1,0.22,0.487244898,
Brenner,Competition,20,188,31,Strength,31,0.07,-0.92,1.06,0.505102041,1,0.07,0.505102041,
Brosea,-,0,490,98,Strength,98,-0.08,-1.12,1.02,0.545918367,1,-0.08,0.545918367,
Broseb,-,0,490,98,Strength,98,0.39,-0.63,1.42,0.522959184,1,0.39,0.522959184,
Burkea,Recreation,16.8,323,56,Mixed,32,0.47,-0.34,1.28,0.413265306,1,0.47,0.413265306,
Burkeb,Recreation,16.8,323,56,Mixed,32,0.47,-0.47,1.41,0.479591837,1,0.47,0.479591837,
Camica,Sedentary,0,70,28,-,28,0.24,-0.29,0.78,0.272959184,1,0.24,0.272959184,
Camicb,Sedentary,0,35,28,-,28,0.19,-0.34,0.73,0.272959184,1,0.19,0.272959184,
Chilibeck,Competition,0,532,56,Mixed,57,0.49,-0.45,1.43,0.479591837,1,0.49,0.479591837,
Chrusch,Sedentary,26,578,72,Strength,70,0.76,0.02,1.51,0.380102041,1,0.76,0.380102041,
DaSilveira,Competition,25,385,91,Mixed,91,-0.87,-1.75,0.01,0.448979592,1,-0.87,0.448979592,
DelFavero,Recreation,20,200,10,None,25,0.95,-0.06,1.96,0.515306122,1,0.95,0.515306122,
FergusonSyrotuik,Recreation,0,266,70,Strength,70,-0.08,-0.85,0.69,0.392857143,1,-0.08,0.392857143,
Gotshalk,-,25,178,7,None,7,0.28,-0.65,1.22,0.477040816,1,0.28,0.477040816,
Gualanoa,Sedentary,20,905,166,Mixed,166,0.5,-0.23,1.22,0.369897959,1,0.5,0.369897959,
Gualanob,Sedentary,20,905,166,None,166,0.57,-0.16,1.31,0.375,1,0.57,0.375,
Herda,Recreation,0,150,30,Mixed,30,-0.29,-1.04,0.46,0.382653061,1,-0.29,0.382653061,
Izquierdo,Competition,20,100,5,Aerobic,7,0.34,-0.57,1.24,0.461734694,1,0.34,0.461734694,
Kelly,Competition,20,205,20,Strength,27,0.5,-0.44,1.44,0.479591837,1,0.5,0.479591837,
LarsonMeyer,Competition,15,350,15,Mixed,60,0.56,-0.62,1.73,0.599489796,1,0.56,0.599489796,
Law,Recreation,20,100,5,Strength,6,0.19,-0.76,1.15,0.487244898,1,0.19,0.487244898,
Noonana,Competition,20,1477,56,Mixed,56,-0.02,-0.79,0.75,0.392857143,1,-0.02,0.392857143,
Noonanb,Competition,20,559,56,Mixed,56,1.07,0.24,1.89,0.420918367,1,1.07,0.420918367,
Painelli,Recreation,20,-,-,Mixed,-,0.59,-0.13,1.31,0.367346939,1,0.59,0.367346939,
Pearson,Recreation,0,350,70,Strength,16,1.42,0.31,2.54,0.568877551,1,1.42,0.568877551,
Peetersa,Recreation,20,393,42,Strength,42,0.25,-0.54,1.04,0.403061224,1,0.25,0.403061224,
Peetersb,Recreation,20,393,42,Strength,42,-0.21,-1.05,0.63,0.428571429,1,-0.21,0.428571429,
Pluim,Competition,22,194,34,Mixed,34,0.01,-0.8,0.82,0.413265306,1,0.01,0.413265306,
Selsby,Recreation,2.5,25,10,Strength,11,0.025,-0.69,0.74,0.364795918,1,0.025,0.364795918,
Stone,Competition,0,700,35,Mixed,35,0.14,-0.74,1.03,0.451530612,1,0.14,0.451530612,
Stout,Competition,21,641,56,Strength,56,-0.52,-1.52,-0.48,0.265306122,1,-0.52,0.265306122,
Syrotuika,Recreation,23,115,5,Strength,39,0.27,-0.78,1.32,0.535714286,1,0.27,0.535714286,
Syrotuikb,Recreation,23,191,37,Strength,39,0.33,-1.39,0.72,0.538265306,1,0.33,0.538265306,
Vanderberghe,Sedentary,20,430,74,Strength,70,0.17,-0.74,1.07,0.461734694,1,0.17,0.461734694,
Villanueva,Recreation,24.8,570,82,Strength,82,0.03,-1.02,1.08,0.535714286,1,0.03,0.535714286,
Voleka,Recreation,25,150,6,Strength,14,0,-1.05,1.05,0.535714286,1,0,0.535714286,
Volekb,Recreation,25,560,84,Strength,84,0.22,-0.68,1.12,0.459183673,1,0.22,0.459183673,
Volekc,Recreation,26,275,28,Strength,28,0.42,-0.54,1.39,0.492346939,1,0.42,0.492346939,
Warber,Competition,24,120,5,Mixed,5,1,0.18,1.82,0.418367347,1,1,0.418367347,
Zuniga,Recreation,20,140,7,Aerobic,7,-0.02,-0.86,0.82,0.428571429,1,-0.02,0.428571429,
Bermona,Sedentary,20,241,52,Strength,52,1.25,0.17,233,59.39540816,1,1.25,59.39540816,
Bermonb,Sedentary,20,241,52,None,52,0.35,-0.64,1.34,0.505102041,1,0.35,0.505102041,
Brosea,-,0,490,98,Strength,98,0.25,-0.85,1.34,0.558673469,1,0.25,0.558673469,
Broseb,-,0,490,98,Strength,98,0.92,-0.16,1.99,0.548469388,1,0.92,0.548469388,
