Author,Year,WMD,lCI,uCI,se_wmd,Design,n,pooled_sd,d,J,g,se_g
Gregersen,2004,-2.16,-20.33,16.01,9.270408163,Crossover,12,32.11363589,-0.067261147,0.930232558,0.062568509,0.268535009
Stephen D. Anton,2010,3.84,-1.09,8.77,2.515306122,Crossover,31,14.00463179,0.274194999,0.974789916,-0.26728252,0.175077437
Pallarés,2015,-82.8,-97.42,-68.18,7.459183673,Crossover,113,79.29221009,-1.044238771,0.993288591,1.037230457,0.093440731
Siew Ling Tey,2017,7.2,-1.33,15.73,4.352040816,Crossover,30,23.83710926,0.302050048,0.973913043,-0.294170482,0.177811381
Jamil Ahmad,2018,1.66,-2.45,5.77,2.096938776,Crossover,20,9.377795293,0.177013887,0.96,-0.169933332,0.214662526
Nikoleta S. Stamataki,2020,-2.34,-15.41,10.73,6.668367347,Crossover,20,29.82184537,-0.078465969,0.96,0.07532733,0.214662526
Verónica Sambra,2022,10.98,5.97,15.99,2.556122449,Crossover,33,14.68380554,0.747762559,0.976377953,-0.730098876,0.169965585
Simoens,2022,-9.65,-44.65,25.35,17.85714286,Crossover,30,97.80759955,-0.09866309,0.973913043,0.09608927,0.177811381
Tobias Rüttgens,2022,-63.38,-111.67,-15.09,24.6377551,Crossover,36,147.8265306,-0.428745772,0.978417266,0.419492266,0.163069544
Gibbons,2024,0.92,-3.76,5.6,2.387755102,Crossover,53,17.38311953,0.052924908,0.985507246,-0.05215788,0.135369831
Paul Chan,2000,-0.01,-3.89,3.87,1.979591837,Parallel,106,10.19057269,-0.000981299,0.992771084,0.000974205,0.192852904
Hsieh,2003,-5.1,-7.82,-2.38,1.387755102,Parallel,168,8.993680969,-0.567064811,0.995475113,0.564498907,0.153605145
da Silva,2006,-2.27,-9.29,4.75,3.581632653,Parallel,43,11.74316797,-0.193303886,0.981595092,0.189746146,0.299383696
Ferri,2006,-1.9,-7.28,3.48,2.744897959,Parallel,14,5.135233862,-0.369992887,0.936170213,0.346376319,0.500404027
GEUNS,2007,-0.9,-4.83,3.03,2.005102041,Parallel,10,3.170344695,-0.283880804,0.903225806,0.256408468,0.571250158
Maki,2008,-1.78,-21.16,17.6,9.887755102,Parallel,122,54.60691238,-0.032596606,0.993736952,0.032392452,0.179937433
Barriocanal,2008,-68.6,-129,-8.2,30.81632653,Parallel,76,134.3252532,-0.510700694,0.989830508,0.505507128,0.227082693
Barriocanal,2008,-5,-30.86,20.86,13.19387755,Parallel,76,57.51077892,-0.086940224,0.989830508,0.086056086,0.227082693
Barriocanal,2008,-0.6,-5.24,4.04,2.367346939,Parallel,76,10.31902607,-0.058145022,0.989830508,0.057553717,0.227082693
HAZALI,2014,5.4,1.87,8.93,1.801020408,Parallel,32,5.094054975,1.060059231,0.974789916,-1.033335049,0.34464028
HAZALI,2014,5.4,2.25,8.55,1.607142857,Parallel,32,4.54568645,1.187939392,0.974789916,-1.15799134,0.34464028
Mathur Ritu,2016,-32.73,-55.15,-10.31,11.43877551,Parallel,20,25.57787962,-1.279621317,0.957746479,1.22555281,0.428317246
Mathur Ritu,2016,-20.13,-45.65,5.39,13.02040816,Parallel,20,29.11451775,-0.69140764,0.957746479,0.662193232,0.428317246
D Toora,2018,-5.8,-8.76,-2.84,1.510204082,Parallel,30,4.13586421,-1.402367125,0.972972973,1.364465311,0.355279497
Kelly A Higgins,2019,5.07,-20.6,30.74,13.09693878,Parallel,154,81.26436798,0.062388967,0.995057661,-0.06208062,0.160368063
Nikoleta S Stamataki,2020,3.42,-6.22,13.06,4.918367347,Parallel,28,13.01277686,0.262818616,0.970873786,-0.255163705,0.366955799
M. Ajami,2020,-20.79,-55.37,13.79,17.64285714,Parallel,34,51.43732564,-0.4041812,0.976377953,0.394633613,0.334894875
M. Ajami,2020,-9.34,-35.65,16.97,13.42346939,Parallel,34,39.13580213,-0.238656153,0.976377953,0.233018607,0.334894875
D'ebora Villaño,2021,-9.4,-13.04,-5.76,1.857142857,Parallel,91,8.85800687,-1.061186804,0.991549296,1.052219028,0.207885218
Jribi,2021,-9.48,-14.06,-4.9,2.336734694,Parallel,12,4.047343214,-2.342277267,0.923076923,2.162102092,0.53293871
Kwok,2024,-1.26,-4.37,1.85,1.586734694,Parallel,59,6.093970223,-0.206761759,0.986784141,0.204029224,0.256936705
