Author,Year,events_treatment,n_treatment,events_control,n_control,OR,d,CI_lower_OR,CI_upper_OR,J,g,se_d,se_g
Delmi,1990,6,27,10,32,0.64,0.24656746,0.2,2,0.986784141,0.243308859,0.324527158,0.320238253
Hankins,1996,2,17,4,14,0.35,0.580012223,0.06,2.05,0.973913043,0.56488147,0.497695697,0.484712331
Volkert,1996,4,35,8,37,0.48,0.405507832,0.14,1.66,0.989247312,0.401147532,0.348535694,0.344787999
Gariballa,1998,2,20,7,20,0.25,0.765908487,0.06,1.07,0.98013245,0.750691762,0.406058936,0.39799154
Potter,2001,13,124,27,127,0.45,0.441164473,0.23,0.88,0.996984925,0.439834329,0.189119771,0.188549561
Vlaming,2001,12,275,14,274,0.85,0.089789464,0.39,1.86,0.998628258,0.089666296,0.220174911,0.219872888
Gazzotti,2003,2,39,2,41,1.05,-0.026955892,0.14,7.77,0.990353698,-0.026695867,0.566070445,0.560609958
Tldermark,2004,1,20,1,20,1,0,0.06,16.58,0.98013245,0,0.792311403,0.776570117
FOOD,2005,43,156,48,158,0.87,0.076940369,0.54,1.42,0.997594226,0.076755268,0.136267196,0.135939368
