Author,Year,fiber_diff,ES,CI_lower,CI_upper,design,n,SE,pooled_sd,d,J,g,se_g
Niemi,1988,15,-10.26,-38.67,18.5,c,22,14.58418367,68.40588495,-0.149987096,0.963855422,-0.144565875,0.205494666
Walker,1995,9,-21.6,-28.36,-14.84,c,24,3.448979592,16.89648027,-1.278372753,0.967032967,-1.236228597,0.197394778
Jenkins,2002,16.1,5.4,3.21,7.59,c,65,1.117346939,9.008339015,0.59944458,0.988235294,0.592392291,0.122575502
Uusitupa,1989,15,15.12,-16.4,46.64,p,39,16.08163265,50.21488186,0.301105956,0.979591837,0.294960936,0.313720465
Calvo-Rubioa,1989,15,16.2,-1.33,33.73,p,9,8.943877551,13.41581633,1.207529949,0.888888889,1.073359954,0.592592593
Calvo-Rubiob,1989,15,25.2,10.75,39.65,p,15,7.37244898,14.27668606,1.76511551,0.941176471,1.661285186,0.48602144
Calvo-Rubioc,1989,15,-25.2,-56.13,5.73,p,10,15.78061224,24.95133878,-1.009965847,0.903225806,-0.912227216,0.571250158
Ziai,2005,10.2,89.7,74.13,105.27,p,49,7.943877551,27.80357143,3.226204239,0.983957219,3.174446952,0.281130634
Jenkins,2008,3,2.4,-6,10.8,p,210,4.285714286,31.05295017,0.077287343,0.996389892,0.077008327,0.13751487
Cugnct-Anceaut,2010,3.5,0.69,-0.35,1.73,p,53,0.530612245,1.931457726,0.357243128,0.985221675,0.351963673,0.27066121
