Author,Year,n_treat,n_control,wmd,lCI,uCI,se_wmd,pooled_sd,d,J,g,se_g
Woodman,2003,10,8,3.3,-0.82,7.42,2.102040816,4.431491143,0.744670336,0.952380952,0.709209844,0.451753951
Woodman,2003,12,8,-0.3,-5.25,4.65,2.525510204,5.533115632,-0.054219001,0.957746479,-0.051928057,0.437149459
Dyerberg,2004,24,27,-2.4,-4.9,0.1,1.275510204,4.546595861,-0.527867458,0.984615385,-0.51974642,0.276225776
Ros,2004,20,20,-0.3,-3.64,3.04,1.704081633,5.388779278,-0.055671235,0.98013245,-0.054565184,0.309945095
Keogh,2005,40,40,0.8,-0.71,2.31,0.770408163,3.445370047,0.232195668,0.990353698,0.229955839,0.221449819
Shah,2007,14,12,14.6,2.73,26.47,6.056122449,15.3943946,0.948397152,0.968421053,0.918447769,0.380974805
Wright,2008,27,29,-1.8,-4.5,0.9,1.37755102,5.151035706,-0.349444287,0.986046512,-0.34456832,0.263700245
Mindrescu,2008,14,16,13.26,6.59,19.93,3.403061224,9.298933552,1.42596997,0.972972973,1.387430241,0.356071648
Rizza,2009,26,24,-0.1,-3.18,2.98,1.571428571,5.551392545,-0.018013498,0.984293194,-0.017730564,0.278623145
Stirban,2010,16,16,-0.01,-4.12,4.1,2.096938776,5.931038512,-0.001686045,0.974789916,-0.00164354,0.34464028
Sanders,2011,239,71,-0.27,-1.17,0.63,0.459183673,3.397298568,-0.079474911,0.997562957,-0.079281227,0.134832018
Haberka,2011,20,20,2.6,-4.44,9.64,3.591836735,11.35838507,0.228905781,0.98013245,0.224357984,0.309945095
