Study,Year,events_treat,n_treat,events_ctrl,n_ctrl,OR,lCI,uCI,ES,J,g,se_es,se_g
AFFORD,2013,20,153,11,163,1.94,0.96,3.91,-0.366125952,0.997609562,-0.36525075,0.197930907,0.197457765
AlphaOmega,2010,332,2404,331,2433,1.02,0.88,1.17,-0.010940678,0.999844873,-0.010938981,0.040145045,0.040138817
AREDS2,2014,213,2147,208,2056,0.98,0.82,1.18,0.011161717,0.99982146,0.011159724,0.051297409,0.051288251
ASCEND,2018,689,7740,712,7740,0.97,0.88,1.07,0.016828291,0.999951543,0.016827476,0.027552715,0.027551379
Baldassarre,2006,1,32,0,32,3,0.13,71,-0.606968115,0.987854251,-0.599596033,0.888333057,0.877543587
Brox,2001,0,80,1,40,0.17,0.01,4.05,0.978981681,0.993630573,0.972746129,0.846189969,0.840800224
DART,1989,467,1015,487,1018,0.96,0.88,1.05,0.022553588,0.999630678,0.022545259,0.024893384,0.02488419
DART2,2003,206,1571,155,1543,1.31,1.07,1.59,-0.149186264,0.999758978,-0.149150306,0.055823003,0.055809548
Derosa,2016,2,128,3,130,0.68,0.12,3.98,0.213073194,0.997067449,0.212448346,0.493509042,0.492061802
DO IT,2010,29,282,35,281,0.83,0.52,1.31,0.102944518,0.998662506,0.102806831,0.130222348,0.130048176
Doi,2014,11,119,24,119,0.46,0.24,0.89,0.429021431,0.996818664,0.427656569,0.184713967,0.18412633
ENRGISE,2018,5,148,9,141,0.53,0.18,1.54,0.350761476,0.997384481,0.349844053,0.302539864,0.301748566
EPE-A,2014,5,168,6,75,0.37,0.12,1.18,0.549310648,0.996884735,0.5475994,0.322158357,0.321154748
EPIC-1,2008,1,188,0,186,2.97,0.12,72.4,-0.601415444,0.997982515,-0.600202097,0.902366365,0.900545855
EPOCH,2014,8,195,5,196,1.61,0.54,4.83,-0.263112806,0.99807074,-0.262605193,0.308804911,0.308209146
FAAT,2005,31,200,39,202,0.8,0.52,1.23,0.12328373,0.998123827,0.123052428,0.121341278,0.121113621
FORWARD,2013,4,289,4,297,1.03,0.26,4.07,-0.01633083,0.998715203,-0.016309848,0.387686978,0.387188879
FOSTAR,2016,18,101,16,101,1.13,0.61,2.08,-0.067523554,0.996245307,-0.067270024,0.172886489,0.172237353
GISSI-HF,2008,783,3494,831,3481,0.94,0.86,1.02,0.034185306,0.999892438,0.034181629,0.024048021,0.024045434
GISSI-P,1999,1552,5666,1550,5658,1,0.94,1.06,0,0.999933756,0,0.016933182,0.01693206
HARP,1995,7,41,7,39,0.95,0.37,2.46,0.028338837,0.990353698,0.028065472,0.266999327,0.264423771
HEARTS,2017,45,143,39,142,1.15,0.8,1.64,-0.077216543,0.99734748,-0.077011724,0.101172595,0.100904232
JELIS,2007,262,9326,324,9319,0.81,0.69,0.95,0.116420459,0.99995977,0.116415776,0.045068552,0.045066738
Kumar,2013,1,39,1,39,1,0.06,15.43,0,0.99009901,0,0.782180119,0.774435762
MAPT,2017,192,820,164,832,1.19,0.99,1.43,-0.0961068,0.999545386,-0.096063108,0.051827261,0.051803699
Nodari,2011,10,67,26,66,0.38,0.2,0.72,0.53457681,0.994263862,0.531510404,0.18053527,0.179499695
Nutristroke,2009,0,38,4,34,0.1,0.01,1.79,1.27214646,0.989247312,1.258467466,0.731111992,0.723250573
OFAMI,2001,42,150,36,150,1.17,0.8,1.71,-0.086742403,0.997481108,-0.086523908,0.107063497,0.106793815
OMEGA,2009,534,1752,541,1701,0.96,0.87,1.06,0.022553588,0.999782656,0.022548686,0.027840086,0.027834035
ORIGIN,2012,1276,6281,1295,6255,0.98,0.92,1.05,0.011161717,0.999940162,0.011161049,0.018628336,0.018627222
Proudman,2015,1,87,0,53,1.84,0.08,44.38,-0.336887056,0.994555354,-0.335052825,0.890534102,0.885685459
Puri,2005,1,60,0,61,3.05,0.13,73.4,-0.616100326,0.993684211,-0.612209166,0.893018486,0.88737837
Raitt,2005,2,100,5,100,0.4,0.08,2.01,0.506237973,0.996207332,0.504317981,0.454372444,0.452649161
REDUCE-IT,2019,459,4089,606,4090,0.76,0.68,0.85,0.151622567,0.999908277,0.151608659,0.031449931,0.031447046
Risk & Prevention,2013,733,6239,745,6266,0.99,0.9,1.09,0.005552672,0.999940013,0.005552339,0.026995463,0.026993844
Sandhu,2016,2,107,1,106,1.98,0.18,21.52,-0.377401572,0.996441281,-0.376058506,0.674227811,0.671828424
SCIMO,1999,17,112,26,111,0.65,0.37,1.13,0.238001611,0.996602492,0.237192999,0.157355664,0.156821047
Shinto,2014,1,13,0,13,3,0.13,67.51,-0.606968115,0.968421053,-0.587800701,0.881229079,0.853400793
SHOT,1996,15,317,12,293,1.16,0.55,2.43,-0.082000003,0.99876594,-0.08189881,0.209399067,0.209140656
SOFA,2006,65,273,62,273,1.05,0.77,1.42,-0.026955892,0.99862069,-0.026918711,0.086258546,0.086139569
SU.FOL.OM3,2010,216,1253,211,1248,1.02,0.86,1.21,-0.010940678,0.99969985,-0.010937394,0.048123132,0.048108688
THIS DIET,2008,14,51,10,50,1.37,0.67,2.8,-0.173928586,0.992405063,-0.172607609,0.201558375,0.200027552
VITAL,2019,386,12933,419,12938,0.92,0.8,1.06,0.046067187,0.999971007,0.046065852,0.039662372,0.039661222
