Study,Year,events_treat,n_treat,events_ctrl,n_ctrl,OR,lCI,uCI,ES,J,g,se_es,se_g
AFFORD,2013,1,153,0,163,3.19,0.13,77.83,0.640895534,0.997609562,0.639363513,0.901278017,0.899123568
AlphaOmega,2010,11,2404,10,2433,1.11,0.47,2.62,0.057657467,0.999844873,0.057648523,0.24216328,0.242125714
AREDS2,2014,48,2147,41,2056,1.12,0.74,1.69,0.062612533,0.99982146,0.062601355,0.116393283,0.116372502
ASCEND,2018,250,7740,256,7740,0.98,0.82,1.16,-0.011161717,0.999951543,-0.011161176,0.048888114,0.048885745
DART,1989,4,1015,9,1018,0.45,0.14,1.44,-0.441164473,0.999630678,-0.441001541,0.328497572,0.32837625
DART2,2003,16,1571,14,1543,1.12,0.55,2.29,0.062612533,0.999758978,0.062597442,0.201035745,0.200987291
Derosa,2016,0,128,1,130,0.34,0.01,8.23,-0.596027437,0.997067449,-0.594279556,0.946126424,0.943351859
DO IT,2010,0,282,2,281,0.2,0.01,4.13,-0.889192217,0.998662506,-0.888002927,0.848946836,0.847811375
Doi,2014,0,119,4,119,0.11,0.01,2.04,-1.219488902,0.996818664,-1.215609298,0.749537715,0.747153183
EPOCH,2014,2,195,0,196,5.03,0.24,104.01,0.892497229,0.99807074,0.890775369,0.855733933,0.854083
FORWARD,2013,3,289,3,297,1.03,0.21,5.05,0.01633083,0.998715203,0.016309848,0.448195399,0.447619559
GISSI-HF,2008,122,3494,103,3481,1.18,0.91,1.53,0.091444441,0.999892438,0.091434605,0.073229566,0.073221689
GISSI-P,1999,92,5665,77,5658,1.19,0.88,1.61,0.0961068,0.99993375,0.096100432,0.085137494,0.085131854
HARP,1995,1,41,0,39,2.86,0.12,68.1,0.580564434,0.990353698,0.574964134,0.893736716,0.885115462
JELIS,2007,166,9326,162,9319,1.02,0.83,1.27,0.010940678,0.99995977,0.010940238,0.059948483,0.059946072
MAPT,2017,1,820,4,832,0.25,0.03,2.26,-0.765908487,0.999545386,-0.765560294,0.609133317,0.608856396
NAT2,2013,0,150,1,150,0.33,0.01,8.12,-0.612520787,0.997481108,-0.610977914,0.94422995,0.941851537
Nodari,2011,0,67,1,66,0.33,0.01,7.92,-0.612520787,0.994263862,-0.609007283,0.940715046,0.935318975
OFAMI,2001,6,150,0,150,13,0.74,228.73,1.417099093,0.997481108,1.413529573,0.808102289,0.806066767
OMEGA,2009,27,1919,13,1885,2.04,1.06,3.94,0.393894921,0.999802722,0.393817215,0.185042256,0.185005751
OPAL,2010,7,376,8,372,0.87,0.32,2.36,-0.076940369,0.998994301,-0.07686299,0.281612344,0.281329127
ORIGIN,2012,314,6281,336,6255,0.93,0.8,1.08,-0.040094305,0.999940162,-0.040091906,0.042296848,0.042294317
ORL,2013,2,171,0,165,4.83,0.23,99.76,0.870080921,0.997752809,0.868125683,0.855852305,0.853929041
REDUCE-IT,2019,98,4089,134,4090,0.73,0.57,0.95,-0.17387334,0.999908277,-0.173857391,0.071995944,0.071989341
Risk & Prevention,2013,80,6239,60,6266,1.34,0.96,1.87,0.161695919,0.999940013,0.16168622,0.09397345,0.093967813
SCIMO,1999,1,112,0,111,2.97,0.12,72.21,0.601415444,0.996602492,0.599372129,0.901996008,0.898931469
SHOT,1996,3,317,4,293,0.69,0.16,3.07,-0.205007559,0.99876594,-0.204754567,0.416374313,0.415860482
SU.FOL.OM3,2010,29,1253,28,1248,1.03,0.62,1.72,0.01633083,0.99969985,0.016325928,0.143809913,0.143766748
THIS DIET,2008,3,51,1,50,2.94,0.32,27.33,0.595806399,0.992405063,0.591281287,0.626820848,0.622060184
VITAL,2019,148,12933,142,12938,1.04,0.83,1.31,0.021668902,0.999971007,0.021668274,0.064319077,0.064317212
Özaydin,2011,1,23,0,24,3.13,0.13,73.01,0.630404975,0.983240223,0.619839528,0.892267624,0.877313418
