author,year,md,se_md,var_md,lCI_md,uCI_md,z,n,pooled_sd,d,J,g,se_g
Aziz,2010,1.3,0.59,0.35,0.14,2.46,2.2,10,1.865743819,0.696773044,0.914285714,0.63704964,0.289122529
Bouhlel,2006,0.2,0.27,0.07,-0.33,0.73,0.74,9,0.81,0.24691358,0.903225806,0.223018718,0.301075269
Coyle,1985,-0.06,0.16,0.02,-0.36,0.24,-0.39,7,0.42332021,-0.141736677,0.869565217,-0.123249285,0.328664759
Coyle,1997,0.93,0.5,0.25,-0.05,1.91,1.86,6,1.224744871,0.75934182,0.842105263,0.639445743,0.343788034
Dohm,1986,0.94,0.88,0.78,-0.79,2.67,1.06,9,2.64,0.356060606,0.903225806,0.321603128,0.301075269
Farah & Gill,2013,0.21,0.21,0.05,-0.2,0.62,0.99,10,0.664078309,0.316227766,0.914285714,0.289122529,0.289122529
Gonzalez,2013,-0.04,0.14,0.02,-0.31,0.23,-0.29,12,0.484974226,-0.08247861,0.930232558,-0.076724288,0.268535009
Guéye,2003,1.39,0.29,0.09,0.82,1.96,4.77,12,1.004589468,1.383649783,0.930232558,1.287116077,0.268535009
Horowitz,1997,2.23,0.52,0.27,1.22,3.24,4.33,6,1.273734666,1.750757092,0.842105263,1.474321762,0.343788034
Isaccoa,2012,0.55,0.22,0.05,0.12,0.98,2.52,10,0.695701085,0.790569415,0.914285714,0.722806322,0.289122529
Isaccob,2012,0.39,0.21,0.04,-0.02,0.8,1.87,11,0.696491206,0.55994964,0.923076923,0.516876591,0.278318164
Kirwana,2001,1.26,0.38,0.15,0.51,2.01,3.31,6,0.930806102,1.353665384,0.842105263,1.139928745,0.343788034
Kirwanb,2001,3.26,0.26,0.07,2.75,3.77,12.46,6,0.636867333,5.118805488,0.842105263,4.310573043,0.343788034
Little,2009,-0.27,0.34,0.11,-0.93,0.39,-0.8,7,0.899555446,-0.300148258,0.869565217,-0.260998485,0.328664759
Little,2010,-0.32,0.24,0.06,-0.78,0.14,-1.35,13,0.865332306,-0.369800131,0.936170213,-0.346195867,0.2596469
Massicotte,1990,0.15,0.74,0.54,-1.28,1.58,0.21,5,1.654690303,0.090651404,0.8,0.072521124,0.357770876
Montaina,1991,0.06,0.2,0.04,-0.33,0.45,0.3,9,0.6,0.1,0.903225806,0.090322581,0.301075269
Montainb,1991,0.47,0.32,0.1,-0.16,1.1,1.47,8,0.90509668,0.519281542,0.888888889,0.461583593,0.314269681
Ramos-Jiménez,2014,0.41,0.55,0.3,-0.67,1.49,0.75,30,3.012474066,0.136100757,0.973913043,0.132550302,0.177811381
Satabin,1987,-0.11,0.19,0.04,-0.49,0.27,-0.57,9,0.57,-0.192982456,0.903225806,-0.174306735,0.301075269
Schabort,1999,-0.33,0.36,0.13,-1.04,0.38,-0.92,7,0.952470472,-0.346467434,0.869565217,-0.301276029,0.328664759
Shin,2013,2.49,0.32,0.1,1.87,3.11,7.86,8,0.90509668,2.751087321,0.888888889,2.445410952,0.314269681
Wu,2003,0,0.19,0.04,-0.36,0.36,0,9,0.57,0,0.903225806,0,0.301075269
Ziogas & Thomas,1998,0.07,0.2,0.04,-0.33,0.47,0.35,7,0.529150262,0.132287566,0.869565217,0.115032666,0.328664759
