Author,Year,g,se_g,Variance,Lower limit,Upper limit,Z-Value,p-Value
Agarwal,2015,0.31,0.12,0.014,0.075,0.545,2.59,0.01
Einvik,2010,-0.046,0.089,0.008,-0.22,0.129,-0.513,0.608
Hyyppa,2003,-0.302,0.182,0.033,-0.66,0.055,-1.657,0.097
Imayama,2011,0.108,0.096,0.009,-0.08,0.296,1.125,0.261
Jacka,2017,0.589,0.271,0.073,0.058,1.12,2.175,0.03
Jenkinson,2009,-0.026,0.103,0.011,-0.228,0.175,-0.257,0.797
Kasckow,2014,0.297,0.256,0.066,-0.205,0.8,1.16,0.246
Kiernan,2001,-0.006,0.232,0.054,-0.461,0.449,-0.026,0.979
McMillian,2011,0.134,0.388,0.15,-0.625,0.894,0.346,0.729
Nieman,2000,0.216,0.207,0.043,-0.19,0.622,1.043,0.297
Wardle,2000,1.095,0.643,0.413,-0.165,2.355,1.703,0.089
