Author,Year,n,design,weight,wmd_neg,lCI_neg,uCI_neg,wmd,lCI,uCI,SE,pooled_sd,d,J,g,se_g
Aro,1981,9,c,0.5,-40.6,-96.84,15.64,40.6,-15.64,96.84,28.69387755,86.08163265,0.47164533,0.903225806,0.426002233,0.301075269
Fuessl,1987,18,c,1.83,-23.2,-49.88,3.48,23.2,-3.48,49.88,13.6122449,57.75186405,0.401718635,0.955223881,0.383731234,0.225148428
Peterson,1987,16,c,1.5,-23.05,-53.56,7.06,23.05,-7.06,53.56,15.46428571,61.85714286,0.372632794,0.949152542,0.353685364,0.237288136
Niemi,1988,20,c,1.11,-0.9,-37.16,35.36,0.9,-35.36,37.16,18.5,82.73451517,0.010878169,0.96,0.010443042,0.214662526
Laajam,1990,39,c,1.32,-25.53,-58.24,7.18,25.53,-7.18,58.24,16.68877551,104.2213697,0.24495936,0.98013245,0.240092618,0.1569468
Lalor,1990,23,c,1.43,-2.32,-33.47,28.83,2.32,-28.83,33.47,15.89285714,76.21946528,0.030438419,0.965517241,0.029388818,0.201324262
Groop,1993,12,c,2.17,-33.64,-57.48,-9.8,33.64,9.8,57.48,12.16326531,42.13478699,0.798390176,0.930232558,0.742688536,0.268535009
Alles,1999,20,c,1.68,7.74,-20.5,35.98,-7.74,-35.98,20.5,14.40816327,64.43526498,-0.120120558,0.96,-0.115315736,0.214662526
Vuksan,1999,11,c,1.91,-25.53,-51.49,0.43,25.53,-0.43,51.49,13.24489796,43.92835692,0.58117357,0.923076923,0.53646791,0.278318164
Luo,2000,10,c,1.62,5.81,-23.11,34.73,-5.81,-34.73,23.11,14.75510204,46.65972956,-0.12451851,0.914285714,-0.113845495,0.289122529
Chen,2003,22,c,3.1,-27.1,-45.38,-8.82,27.1,8.82,45.38,9.326530612,43.74530617,0.619495036,0.963855422,0.597103649,0.205494666
Chearskul,2007,20,c,1.4,-7.73,-39.37,23.91,7.73,-23.91,39.37,16.14285714,72.19305184,0.107074016,0.96,0.102791056,0.214662526
Saki,2019,28,c,3.12,-6.56,-24.75,11.63,6.56,-11.63,24.75,9.280612245,49.10838403,0.133582078,0.971962617,0.129836786,0.183683669
