author,year,mean_treat,sd_treat,n_treat,mean_control,sd_control,n_control,md,lCI,uCI,se_md,pooled_sd,d,J,g,se_g
Balfego,2016,7.14,0.99,17,7.17,1.16,15,-0.03,-0.78,0.72,0.382653061,1.082306298,-0.027718586,0.974789916,-0.027019798,0.34464028
Bonnema,1995,9.2,4.1,14,8.6,4.9,13,0.6,-2.82,4.02,1.744897959,4.533377879,0.132351641,0.96969697,0.128340985,0.373236538
Clark,2016,0.13,0.54,16,0.12,0.85,17,0,-0.48,0.48,0.244897959,0.703415834,0,0.975609756,0,0.339663719
Connor,1993,9.89,11.56,16,9.56,9.56,16,0.33,-7.02,7.68,3.75,10.60660172,0.031112698,0.974789916,0.030328345,0.34464028
Dasarathy,2015,8.4,2.4,18,6.9,1.3,19,1.5,0.25,2.75,0.637755102,1.939656419,0.773332836,0.978417266,0.7566422,0.321701615
de Luis,2016,4.94,0.43,14,4.94,0.42,15,0,-0.31,0.31,0.158163265,0.425867625,0,0.971962617,0,0.360977854
DeFina,2010,4.93,0.55,64,4.96,0.55,64,-0.03,-0.22,0.16,0.096938776,0.548368524,-0.054707735,0.994035785,-0.054381446,0.175722361
Derosa,2009,4.8,5.89,164,4.8,5.98,162,0,-1.29,1.29,0.658163265,5.941723574,0,0.997683398,0,0.110513146
Derosa,2011,4.44,1.94,78,4.61,2.49,79,-0.17,-0.87,0.53,0.357142857,2.237493587,-0.075977871,0.995153473,-0.075609643,0.158843787
Derosa,2016,5.69,3.28,128,6.77,6.04,130,-1.08,-2.26,0.1,0.602040816,4.835103703,-0.22336646,0.997067449,-0.222711427,0.124149416
DIPP: Tokudome,2015,5.66,1.07,91,5.79,1.28,74,-0.13,-0.5,0.24,0.18877551,1.212432667,-0.107222449,0.995391705,-0.106728337,0.154982278
DO IT: Einvik,2010,5.7,1.1,248,5.9,1.7,239,-0.2,-0.46,0.06,0.132653061,1.463698951,-0.13664012,0.998452811,-0.136428712,0.090488431
Ebrahimi,2009,6.34,3.16,47,6.11,2.72,42,0.23,-0.99,1.45,0.62244898,2.936085965,0.078335581,0.991354467,0.077658328,0.210166727
Finnegan,2003,0.04,0.39,31,0.18,0.49,30,-0.14,-0.36,0.08,0.112244898,0.438330339,-0.319393817,0.987234043,-0.315316449,0.252804733
IFOMS: Sirtori,1997,8.16,2.05,203,7.93,2.05,211,0.23,-0.17,0.63,0.204081633,2.076223464,0.110778056,0.998178506,0.110576275,0.098115594
JELIS,2007,7.89,2.5,2303,7.83,2.56,2262,0.06,-0.09,0.21,0.076530612,2.585387132,0.023207356,0.999835625,0.023203541,0.029596354
JELIS,2007,5.44,0.83,7023,5.39,0.94,7057,0.05,0.02,0.08,0.015306122,0.908105937,0.055059655,0.999946724,0.055056722,0.016854099
Lalia,2015,5.2,0.7,14,5.3,1,11,-0.1,-0.8,0.6,0.357142857,0.892857143,-0.112,0.967032967,-0.108307692,0.386813187
Niki,2016,7,2.8,29,6.6,1.9,30,0.4,-0.83,1.63,0.62755102,2.410155426,0.1659644,0.986784141,0.163771038,0.256936705
Nodari,2011,5.8,0.72,67,6.1,1.1,66,-0.3,-0.62,0.02,0.163265306,0.941433681,-0.318662914,0.994263862,-0.316835019,0.172427221
OFAMI: Nilsen,2001,6,1.3,124,5.9,1.3,129,0.1,-0.22,0.42,0.163265306,1.298446834,0.07701509,0.997008973,0.076784736,0.125362834
Patch,2005,5.5,0.62,38,5.5,0.6,36,0,-0.28,0.28,0.142857143,0.614451805,0,0.989547038,0,0.230065013
Risk & Prevention,2013,7.17,2.31,6239,7.08,2.31,6266,0.09,0.01,0.17,0.040816327,2.282158313,0.039436353,0.999940013,0.039433987,0.017883894
Sasaki,2012,7.89,1.89,15,7.78,1.44,13,0.11,-1.13,1.35,0.632653061,1.673842666,0.065717049,0.970873786,0.06380296,0.366955799
SHOT: Eritsland,1996,4.95,1.29,255,5.02,1.18,245,-0.07,-0.29,0.15,0.112244898,1.25493611,-0.055779732,0.998493219,-0.055695684,0.089307949
SMART: Tapsell,2013,4.8,0.4,21,4.9,0.7,24,-0.1,-0.43,0.23,0.168367347,0.564721249,-0.177078515,0.98245614,-0.173971874,0.292911829
Smith,2015,0.26,0.39,29,0.06,0.42,15,0.2,-0.06,0.46,0.132653061,0.439960431,0.454586335,0.982035928,0.446420113,0.296094973
Sofi,2010,5.5,3.89,6,5.72,1.67,5,-0.22,-3.66,3.22,1.755102041,2.910507469,-0.075588193,0.914285714,-0.069109205,0.55133503
Tande,2016,-0.02,0.39,50,-0.03,0.35,50,0.01,-0.14,0.16,0.076530612,0.382653061,0.026133333,0.992327366,0.025932822,0.198465473
Tardivo,2015,5.6,1.5,44,5.9,1.5,43,-0.3,-0.93,0.33,0.321428571,1.499043062,-0.200127673,0.991150442,-0.198356632,0.212524963
Wang,2016,8.89,2.46,49,8.88,2.02,50,0.01,-0.88,0.9,0.454081633,2.2590276,0.004426683,0.992248062,0.004392368,0.199449365
WELCOME,2014,6.1,2,47,6.1,2,48,0,-0.8,0.8,0.408163265,1.989141703,0,0.991913747,0,0.203536406
Witte,2012,5.2,0.5,32,5.1,0.5,33,0.1,-0.14,0.34,0.12244898,0.493607617,0.202590066,0.988047809,0.200168671,0.245104495
Zheng,2016,8.46,3.02,58,8.22,2.51,55,0.24,-0.78,1.26,0.520408163,2.766007329,0.086767666,0.993227991,0.086180075,0.18687006
