author,year,n_treat,n_control,md,lCI,uCI,se_md,pooled_sd,d,J,g,se_g
Lind,1987,15,10,-4,-21.8,13.8,9.081632653,22.24536603,0.17981273,0.967032967,0.173884838,0.394789556
Lind,1988,15,16,3,-7.7,13.7,5.459183673,15.18981485,-0.197500761,0.973913043,-0.192348568,0.350022053
Lind,1988,33,32,-4,-13.5,5.6,4.87244898,19.6391452,0.203674852,0.988047809,0.201240492,0.245133507
Lind,1989,18,21,5,-4.9,14.9,5.051020408,15.72507479,-0.317963512,0.979591837,-0.31147446,0.314652771
Scragg,1995,95,94,0,-4.2,4.2,2.142857143,14.72950141,0,0.995983936,0,0.14489637
Pfeifer,2001,73,72,-6.5,-12.4,-0.6,3.010204082,18.12339756,0.358652398,0.99474606,0.35676806,0.165222257
Sugden,2008,17,17,-13.9,-21.2,-6.6,3.724489796,10.85866042,1.280084234,0.976377953,1.249846024,0.334894875
Nagpal,2009,35,36,4,0,7.9,2.015306122,8.489793414,-0.471153985,0.989090909,-0.466014124,0.234790279
Zittermann,2009,82,83,-1,-5.9,3.9,2.5,16.05624583,0.062281059,0.995391705,0.06199405,0.154985125
de Zeeuw,2010,92,88,-5,-16.1,6.1,5.663265306,37.98095711,0.131644918,0.995780591,0.131089455,0.148478872
Jorde,2010,114,112,2.3,-0.9,5.5,1.632653061,12.27159812,-0.187424651,0.996648045,-0.186796412,0.132597276
Witham,2010,48,48,2,-6.8,10.8,4.489795918,21.9954181,-0.090928028,0.992,-0.090200604,0.202491152
Witham,2010,19,21,-2.3,-14.2,9.6,6.071428571,19.17552849,0.119944543,0.98013245,0.117561539,0.310333254
Harris,2011,22,23,1.5,-3.6,6.6,2.602040816,8.725355011,-0.171912776,0.98245614,-0.168896762,0.292984179
Shab-Bidar,2011,50,50,-4.8,-11.3,1.7,3.316326531,16.58163265,0.289476923,0.992327366,0.287255873,0.198465473
Alvarez,2012,17,20,8.4,-6.6,23.4,7.653061224,23.19924141,-0.362080805,0.978417266,-0.354266111,0.322764314
Bonakdaran,2012,15,16,-6.6,-14.7,1.5,4.132653061,11.4988318,0.573971349,0.973913043,0.558998183,0.350022053
Gepner,2012,55,55,2.2,-1.4,5.8,1.836734694,9.631917993,-0.22840726,0.993039443,-0.226817419,0.189365192
Heshmat,2012,21,21,0,-0.5,0.5,0.255102041,0.826625089,0,0.981132075,0,0.302783932
Kjaergaard,2012,120,110,0,-2.8,2.8,1.428571429,10.82243554,0,0.996706915,0,0.131566228
Muldowney,2012,51,56,2,-3.6,7.6,2.857142857,14.76111516,-0.135491118,0.992840095,-0.134521015,0.192172878
Muldowney,2012,48,52,-1,-8.9,6.9,4.030612245,20.13693232,0.049659997,0.992327366,0.049278974,0.198624436
Salehpour,2012,40,37,2.7,-2.5,7.9,2.653061224,11.63142079,-0.232129853,0.989966555,-0.229800791,0.225805766
Toffler,2012,31,31,0,-9.2,9.2,4.693877551,18.4798144,0,0.987447699,0,0.250811966
Witham,2012,29,27,-0.4,-7.9,7.1,3.826530612,14.30843252,0.027955543,0.986046512,0.027565466,0.263700245
Wood,2012,95,98,0.9,-2.2,4,1.581632653,10.98504419,-0.081929575,0.996068152,-0.08160744,0.143414436
Asemi,2013,24,24,-5.7,-9.9,-1.5,2.142857143,7.42307489,0.767875858,0.983606557,0.755287729,0.283942755
Boxer,2013,24,24,-0.3,-8.1,7.5,3.979591837,13.78571051,0.021761664,0.983606557,0.021404915,0.283942755
Breslavsky,2013,19,13,0.4,-10.4,11.2,5.510204082,15.30880079,-0.026128761,0.974789916,-0.025470053,0.350862974
Chai,2013,22,21,3.7,-5.5,12.9,4.693877551,15.38574449,-0.24048235,0.981595092,-0.236056295,0.299464687
Forman,2013,70,72,-5.7,-11.5,0.1,2.959183673,17.62962272,0.323319455,0.994633274,0.321584288,0.166952101
Larsen,2013,26,26,2,-4.5,8.5,3.316326531,11.95718535,-0.167263444,0.984924623,-0.164741884,0.273168941
