Author,Year,n,CI_lower,CI_upper,md,se_md,pooled_sd,d,J,g,se_g
Andersen,2005,22,0.770944251,1.899537292,1.342788474,0.287906388,0.67520033,1.988726033,0.982035928,1.953000416,0.418741527
Anonio,2000,19,-0.297798195,0.528239579,0.11371613,0.210723922,0.459262141,0.247606149,0.979020979,0.242411615,0.449205633
Bird,2006,32,0.001050981,1.595604687,0.793789256,0.406773905,1.150530346,0.68993335,0.987854251,0.681553593,0.34925922
CandowBurke,2006,27,0.405850091,1.383173796,0.892990787,0.249317272,0.647745273,1.378614133,0.985507246,1.358634218,0.379321916
CandowChilibeck,2006,29,-0.514615548,0.834854951,0.16314542,0.344252678,0.926928704,0.176006438,0.986547085,0.173638639,0.366394389
Coburn,2006,33,-0.279273274,0.437822036,0.080770646,0.182932477,0.525433537,0.153721907,0.988235294,0.151913414,0.344059367
Cribb,2006,23,-0.488744825,1.335780091,0.421996476,0.465440029,1.116085983,0.378103912,0.982857143,0.371622131,0.409879762
Eliot,2008,42,-0.096031994,0.412272138,0.15809518,0.129669421,0.420176948,0.376258576,0.990825688,0.372806662,0.305775446
Erskine,2012,33,-0.747225272,0.284544773,-0.235928611,0.263206644,0.756003528,-0.312073425,0.988235294,-0.308401973,0.344059367
Godard,2002,17,-0.315261072,0.846614874,0.262667777,0.296396925,0.611037914,0.429871487,0.976377953,0.419717042,0.473612874
Hartman,2007,56,-0.173682886,1.054758869,0.440521397,0.313377999,1.172553104,0.375694197,0.993166287,0.373126811,0.265434855
Hoffman,2007,21,-0.047283076,0.482184491,0.218946972,0.135068257,0.309480256,0.707466691,0.981132075,0.694118263,0.428201143
Hoffman,2009,33,-0.547240207,0.115408762,-0.220412814,0.169043104,0.485539352,-0.453954583,0.988235294,-0.448613941,0.344059367
Hulmi,2009,31,-0.366311085,0.977107977,0.308390976,0.342708944,0.954061324,0.323240203,0.987447699,0.319182795,0.354701684
Josse,2010,20,-0.028094378,0.328907229,0.144388177,0.091071838,0.203642822,0.709026598,0.98013245,0.694939977,0.438328557
Mielke,2009,39,-0.056022812,0.213266144,0.080134526,0.068696162,0.214503698,0.373581091,0.99009901,0.369882269,0.317085453
Rankin,2004,13,-0.232161674,0.475873075,0.121830809,0.180621109,0.325619336,0.374151026,0.968421053,0.362335731,0.537183348
Verdijk,2009,28,-0.296365542,0.405601175,0.054617816,0.179073142,0.473783001,0.115280236,0.986046512,0.113671675,0.37269055
Vieillevoye,2010,29,-0.172991451,0.450323177,0.132606128,0.159008834,0.428144387,0.309722916,0.986547085,0.30555624,0.366394389
Walker,2010,30,-0.010249829,0.189447599,0.086573166,0.050943221,0.139513758,0.620534976,0.987012987,0.61247608,0.360406185
Weisgarber,2012,17,-1.109266056,0.939162036,-0.080521729,0.522558187,1.0772813,-0.074745314,0.976377953,-0.072979677,0.473612874
Willoughby,2007,19,-0.105391255,1.110914436,0.499735872,0.310282064,0.676244081,0.738987425,0.979020979,0.723484192,0.449205633
Wycherly,2010,34,-0.148481471,0.235801387,0.048173644,0.098031341,0.285808017,0.168552459,0.988593156,0.166629807,0.339084655
