"scheme","stratum","weighting","n_outcomes","n_source_articles","n_main","n_exclusion_sensitivity","n_claimed_effects","median_log10BF_rigor","q25_log10BF_rigor","q75_log10BF_rigor","prop_rigor_moderate","prop_rigor_strong","prop_rigor_effect_direction","prop_rigor_no_effect_direction","median_rigor_margin","median_log10BF_rigor_effect","median_log10BF_rigor_no_effect","prop_rigor_effect_branch_moderate","prop_rigor_no_effect_branch_moderate","median_mu_RE","median_mu_BC","median_attenuation_pct","prop_shrink50","prop_sign_flip","prop_bc_ci_includes_zero","median_log10BF_effect","prop_effect_inconclusive","prop_effect_moderate_positive","prop_effect_moderate_null","median_log10BF_bias","prop_bias_moderate","median_log10BF_het","prop_het_moderate","median_log10BF_no_bias","prop_claimed_shrink50","prop_claimed_inconclusive_effect","prop_claimed_rigor_moderate","prop_claimed_rigor_no_effect_direction"
"nutrition_domain","caffeine","outcome_weighted",20,10,16,4,16,-0.501014258221085,-1.32382343047279,-0.0735271005961485,0.05,0,0.9,0.1,2.27413558887731,-0.730965148609533,-2.72339075066875,0,0.05,0.334410447299634,0.0544867143804193,-84.6729647527809,0.95,0.15,1,-0.25340054528882,0.65,0.05,0.3,0.923416458271392,0.75,0.396718603987706,0.5,-0.923416458271392,0.9375,0.75,0,0
"nutrition_domain","creatine","outcome_weighted",17,8,16,1,14,-0.0510821537510977,-0.170812491213248,0.166610611610728,0.117647058823529,0,0.882352941176471,0.117647058823529,1.01378717866074,-0.0943700712341981,-1.05027766024169,0.0588235294117647,0.0588235294117647,0.330807412755254,0.0636993448953313,-74.8984948729777,0.823529411764706,0.117647058823529,1,-0.138931016482061,0.647058823529412,0.176470588235294,0.176470588235294,0.345256173643444,0.294117647058824,0.0236314487961184,0.411764705882353,-0.345256173643444,0.785714285714286,0.642857142857143,0.0714285714285714,0
"nutrition_domain","diet","outcome_weighted",26,15,26,0,16,-0.114398384163434,-0.371337860548801,0.24612241304046,0.0769230769230769,0,0.653846153846154,0.346153846153846,1.33992407289893,-0.282372040718974,-1.02688709758917,0,0.0769230769230769,0.271538492538194,0.0480655773139385,-78.9558784987008,0.769230769230769,0.153846153846154,1,-0.262920135224017,0.692307692307692,0.115384615384615,0.192307692307692,0.454058956487657,0.5,2.73824188988634,0.692307692307692,-0.454058956487657,0.75,0.8125,0,0.0625
"nutrition_domain","fasting","outcome_weighted",25,11,22,3,17,0.146698135208474,-0.197800391583951,0.500289119771688,0.28,0,0.76,0.24,1.27513224321125,-0.178777104353147,-1.12112638943251,0.16,0.12,0.253854544766007,0.0663986572930636,-71.7664034897797,0.76,0.04,1,-0.180801264563542,0.68,0.12,0.2,0.195908894328267,0.36,0.691199120398443,0.52,-0.195908894328267,0.647058823529412,0.823529411764706,0.235294117647059,0
"nutrition_domain","fiber","outcome_weighted",22,10,18,4,16,0.201965931414468,-0.0680576896258033,0.460962780139471,0.227272727272727,0,0.863636363636364,0.136363636363636,0.756816117122889,0.0710905928899457,-0.608942488487477,0.181818181818182,0.0454545454545455,0.34347684492968,0.127731846482961,-63.22368469974,0.681818181818182,0.0454545454545455,1,-0.0361832187683329,0.636363636363636,0.181818181818182,0.181818181818182,-0.0437804412467772,0.181818181818182,2.75901073017027,0.727272727272727,0.0437804412467772,0.5625,0.75,0.25,0
"nutrition_domain","omega3","outcome_weighted",21,13,20,1,8,0.205409617105087,-0.0113466227259752,0.280420473808655,0.0952380952380952,0,0.380952380952381,0.619047619047619,0.73287069020164,-0.470566103854958,-0.0743242929675023,0,0.0952380952380952,0.0607841983433898,0.00499149245325602,-86.1812204272113,0.904761904761905,0.142857142857143,1,-0.495696017570684,0.571428571428571,0,0.428571428571429,0.151255327772701,0.19047619047619,0.550262679390968,0.523809523809524,-0.151255327772701,0.75,1,0,0
"nutrition_domain","protein","outcome_weighted",21,9,18,3,15,-0.183974958318887,-0.470566103854958,0.110246880175415,0,0,0.857142857142857,0.142857142857143,0.987431565051767,-0.202034669334607,-1.43359694774165,0,0,0.281972552039937,0.0604110140589558,-80.016737421102,0.952380952380952,0.142857142857143,1,-0.266746944693403,0.80952380952381,0,0.19047619047619,0.498699716833449,0.476190476190476,-0.22018185686707,0.142857142857143,-0.498699716833449,0.933333333333333,1,0,0
"nutrition_domain","vitamind","outcome_weighted",23,17,22,1,6,0.194464513207799,-0.290102106889511,0.660021593264676,0.391304347826087,0.0434782608695652,0.478260869565217,0.521739130434783,1.04230647108922,-0.562002252366327,-0.442380358357802,0.0869565217391304,0.304347826086957,0.126605464966869,0.00956037195368983,-90.3430565708797,0.91304347826087,0.173913043478261,1,-0.652681915686248,0.304347826086957,0.0869565217391304,0.608695652173913,0.0750586447369225,0.347826086956522,-0.314388583387635,0.347826086956522,-0.0750586447369225,0.666666666666667,0.5,0.333333333333333,0
"nutrition_domain","Overall","outcome_weighted",175,93,158,17,108,-0.0104864929329589,-0.34215734545835,0.300667985395977,0.16,0.00571428571428571,0.714285714285714,0.285714285714286,1.05888996372732,-0.197800391583951,-0.909925105757707,0.0628571428571429,0.0971428571428571,0.260720111809805,0.056102587971436,-75.5453116128154,0.84,0.12,1,-0.239356987247754,0.622857142857143,0.0914285714285714,0.285714285714286,0.311955259132542,0.388571428571429,0.483631144002422,0.491428571428571,-0.311955259132542,0.759259259259259,0.796296296296296,0.101851851851852,0.00925925925925926
