topic,meta_analysis,year,outcome,n_studies,has_excl_variant,mu_RE,mu_BC,mu_BC_lCI,mu_BC_uCI,log10BF_effect,log10BF_het,log10BF_bias
Caffeine,cai2012,2012,hdl_cholesterol,17,FALSE,-0.00381644,-6.07201e-4,-0.003646244,0,-1.3411530804860758,-0.6020057061734065,-0.5205072193756406
Caffeine,cai2012,2012,ldl_cholesterol,15,FALSE,0.23625087,0.08530045,-0.019246158,0.345882118,-0.10378369328062464,0.823276458933047,0.25603473848895125
Caffeine,cai2012,2012,total_cholesterol,22,FALSE,0.316927053,0.049025263,-0.046572292,0.349480069,-0.37874304460898345,1.4935185669347348,1.1464538625990264
Caffeine,cai2012,2012,triglycerides,11,FALSE,0.268016216,0.072776846,-0.044712909,0.373170412,-0.2318096851524116,0.9838983636353417,0.5139959178165243
Caffeine,chen2024,2024,time_trial_performance_excl,14,TRUE,0.43682347,0.047191911,-0.640868528,0.544973849,-0.16486426333875642,-0.28794890171243964,0.8144688363209451
Caffeine,grgic2018,2018,max_muscular_strength,11,FALSE,0.195721928,-1.2688e-4,-0.175085637,0.18381134,-0.7282893518313707,-0.46818019214791695,1.1965190629534348
Caffeine,grgic2019,2019,isokinetic_muscular_strength,10,FALSE,0.160129557,0.046306341,0,0.231656123,-0.27673197796826654,1.7353672056660794,0.32544444657007726
Caffeine,irwin2020,2020,attention_accuracy,27,FALSE,0.667475567,0.06737406,-0.108057536,0.589691234,-0.3776990864065493,3.8538111588464994,1.6434970951373427
Caffeine,irwin2020,2020,attention_speed,44,FALSE,0.676903598,0.286910677,-0.001762171,0.7666469,0.2155229508720729,Inf,0.6173677367540018
Caffeine,irwin2020,2020,executive_function_excl,37,TRUE,0.290692118,0.091640299,-0.021772242,0.386095475,-0.11759050384551763,0.7023139629700295,0.5557189340173809
Caffeine,irwin2020,2020,processing_accuracy,34,FALSE,0.420819492,-0.005345722,-0.435663173,0.358136087,-0.4543035182496744,0.002015130083894124,1.6844713983986006
Caffeine,irwin2020,2020,processing_speed_collapsed,11,FALSE,1.259073748,0.488415302,-0.124980283,1.338798775,0.3893666946605313,Inf,1.9155756985224206
Caffeine,irwin2020,2020,processing_speed_excl,19,TRUE,1.590958317,-3.63722e-4,-1.168926684,0.789903268,-0.27803788364590476,Inf,3.085829880007985
Caffeine,polito2016,2016,muscle_endurance,42,FALSE,0.38362386328371,0.00168377303546011,-0.340771095073055,0.266810857497528,-0.526055449279248,0.7036301341935354,2.5383478863539577
Caffeine,rayagonzalez2019,2019,movement_velocity,10,FALSE,0.616635951,0.128759029,-0.501452087,0.74474273,-0.10131758316857159,-0.3294363976804147,0.7240487659114349
