Author,Year,mean_control,sd_control,n_control,mean_treat,sd_treat,n_treat,md,lCI_md,uCI_md,se_md,pooled_sd,d,se_d,J,g,se_g
Bhutani,2013,49,8,16,50,8,16,-1,-6.54,4.54,2.826530612,7.994635853,-0.125083871,0.353553391,0.974789916,0.121930496,0.34464028
Cai,2019,42.71,7.67,79,44.17,7.79,90,-1.46,-3.79,0.87,1.18877551,7.71065546,-0.189348364,0.154173081,0.995502249,0.188496723,0.153479649
Cai,2019,42.71,7.67,79,44.04,7.47,95,-1.33,-3.59,0.93,1.153061224,7.572740798,-0.175629938,0.152264716,0.995633188,0.174862995,0.151599804
Chow,2020,51,7.8,9,48.6,9.9,11,2.4,-5.36,10.16,3.959183673,8.808627591,0.272460151,0.449466575,0.957746479,-0.26094775,0.43047503
Correia,2021,61.4,6.6,12,61.5,6.3,12,-0.1,-5.26,5.06,2.632653061,6.44865667,-0.015507106,0.40824829,0.965517241,0.014972378,0.394170763
Gabel,2019,56,11.62,15,54,9.95,11,2,-6.32,10.32,4.244897959,10.69356597,0.18702835,0.396958131,0.968421053,-0.181122192,0.384422611
Guo,2021,51.3,8.5,18,49.4,9.9,21,1.9,-3.87,7.67,2.943877551,9.165018337,0.207310005,0.321208037,0.979591837,-0.203079189,0.314652771
Kotarsky,2021,48,6.32,10,47,6.63,11,1,-4.54,6.54,2.826530612,6.469048223,0.154582245,0.436931449,0.96,-0.148398956,0.419454191
Moro,2016,74.41,3.59,17,73.72,4.27,17,0.69,-1.96,3.34,1.352040816,3.94184248,0.175045046,0.34299717,0.976377953,-0.170910124,0.334894875
State,2007,49.4,1.55,15,50.9,1.55,15,-1.5,-2.61,-0.39,0.566326531,1.550949079,-0.967149741,0.365148372,0.972972973,0.941010559,0.355279497
Teng,2011,54.8,5.2,13,52.2,4.1,12,2.6,-1.06,6.26,1.867346939,4.664631158,0.557385978,0.400320385,0.967032967,-0.539010616,0.387123009
Teng,2013,51.6,8.8,28,54,4.1,28,-2.4,-6,1.2,1.836734694,6.872431935,-0.349221356,0.267261242,0.986046512,0.3443485,0.263532015
Tinsley,2019,46.3,4.49,9,46.4,4.33,13,-0.1,-3.86,3.66,1.918367347,4.42398213,-0.02260407,0.43362909,0.962025316,0.021745687,0.417162163
Trabelsi,2012,63.9,4,9,63.6,2.7,10,0.3,-2.8,3.4,1.581632653,3.442310779,0.08715076,0.459468292,0.955223881,-0.083248487,0.438895085
Trabelsi,2013,68.6,2.9,8,68,3.1,8,0.6,-2.34,3.54,1.5,3,0.2,0.5,0.945454545,-0.189090909,0.472727273
