Author,Year,type,ES,CI_lower,CI_upper,SE,n_control,n_treatment,pooled_sd,d,J,g,se_g
Arnarson,2013,FFM,-0.203389831,-0.61440678,0.207627119,0.209702525,66,75,1.242500874,-0.163693914,0.994594595,-0.162809082,0.167862254
Campbell,1995,FFM,0.805084746,-1.419491525,3.029661017,1.134987893,6,6,1.965856697,0.409533791,0.923076923,0.378031192,0.53293871
Candow,2006,FFM,0.898305085,-0.716101695,2.512711864,0.823676928,18,18,2.471030784,0.363534558,0.977777778,0.355456013,0.325925926
Candow a,2006,FFM,0.194915254,-3.800847458,4.190677966,2.038654445,20,19,6.363603518,0.030629698,0.979591837,0.030004602,0.313823645
Coburn,2006,FFM,1.101694915,-0.186440678,2.389830508,0.657212037,12,11,1.574448852,0.699733696,0.963855422,0.674442117,0.402335957
Cribb,2007,FFM,1.610169492,0.156779661,3.063559322,0.741525424,7,5,1.266395752,1.271458381,0.923076923,1.17365389,0.540498502
Daly,2014,FFM,0.5,-0.288135593,1.288135593,0.402109997,43,48,1.915045164,0.261090448,0.991549296,0.25888405,0.208199729
Deibert,2011,FFM,0.805084746,0,1.610169492,0.410757523,15,15,1.124905805,0.715690809,0.972972973,0.696347814,0.355279497
Hartman,2007,FFM,0.898305085,-0.029661017,1.826271186,0.473452093,38,37,2.04992546,0.438213536,0.989690722,0.433695871,0.228579601
Herda,2013,FFM,-0.101694915,-1.008474576,0.805084746,0.462642684,21,22,1.516465236,-0.067060499,0.981595092,-0.065826256,0.299464687
Hoffman,2007,FFM,1.305084746,-0.127118644,2.737288136,0.730716015,10,11,1.67238137,0.78037508,0.96,0.749160077,0.419454191
Hoffman,2009,FFM,1.305084746,-0.576271186,3.186440678,0.959875476,14,26,2.895580159,0.450716152,0.98013245,0.441761526,0.324910743
Hulmi,2015,FFM,0.305084746,-0.56779661,1.177966102,0.445347631,42,47,2.097382873,0.14545973,0.991354467,0.144202153,0.210499174
Iglay,2009,FFM,0.296610169,-0.457627119,1.050847458,0.384814943,18,18,1.154444829,0.256928838,0.977777778,0.251219309,0.325925926
Josse,2010,FFM,0.805084746,-0.165254237,1.775423729,0.49507091,10,10,1.107012208,0.727259139,0.957746479,0.69652988,0.428317246
Kerksick,2006,FFM,0.601694915,-0.11440678,1.31779661,0.365358008,22,25,1.249830292,0.481421293,0.983240223,0.473352779,0.287426774
Leenders F,2013,FFM,-0.203389831,-1.046610169,0.639830508,0.430214459,12,12,1.053805905,-0.193005021,0.965517241,-0.186349676,0.394170763
Leenders M,2013,FFM,-0.008474576,-0.309322034,0.292372881,0.153493601,14,15,0.41304838,-0.020517151,0.971962617,-0.019941904,0.361192658
Mielke,2009,FFM,0.601694915,-3.059322034,4.262711864,1.86786579,13,13,4.762142056,0.126349636,0.968421053,0.122359647,0.379845988
Rankin,2004,FFM,0.805084746,-0.88559322,2.495762712,0.862590799,9,10,1.877367415,0.428837072,0.955223881,0.409635412,0.438895085
Reidy,2016,FFM,0.296610169,-0.627118644,1.220338983,0.471290211,46,45,2.247775306,0.131957215,0.991549296,0.130842083,0.207897771
Rozenek,2002,FFM,-0.610169492,-1.631355932,0.411016949,0.52101349,25,26,1.86003261,-0.328042363,0.984615385,-0.322995557,0.275800486
Snijders,2015,FFM,0.194915254,-0.563559322,0.953389831,0.386976825,19,20,1.207937466,0.16136204,0.979591837,0.158068937,0.313823645
Verdijk,2009,FFM,0.101694915,-0.915254237,1.118644068,0.518851608,13,13,1.322817237,0.076877525,0.968421053,0.074449814,0.379845988
Volek,2013,FFM,0.203389831,-0.686440678,1.093220339,0.453995157,44,41,2.091510378,0.097245432,0.990936556,0.096364054,0.215098334
Weisgarber,2012,FFM,0.194915254,-1.288135593,1.677966102,0.756658596,8,9,1.557190544,0.1251711,0.949152542,0.118806468,0.461205235
