Author,Year,n_treat,mean_treat,sd_treat,n_control,mean_control,sd_control,d,lCI,uCI,se_d,J,g,se_g
Kremer,1985,23,6.4,5.6,21,9,8.3,-0.36,-0.96,0.23,0.303571429,0.982035928,0.353532934,0.29811805
Cleland,1988,23,9.5,7.5,23,12,10.25,-0.27,-0.85,0.31,0.295918367,0.982857143,0.265371429,0.290845481
vanderTempel,1989,14,29,26.19,14,42,33.67,-0.42,-1.17,0.33,0.382653061,0.970873786,0.40776699,0.371507826
Kremer,1990,17,3,5.15,12,6.2,4.15,-0.65,-1.41,0.11,0.387755102,0.971962617,0.631775701,0.376883464
Tulleken,1990,13,14.5,12.69,14,16.5,8.78,-0.18,-0.94,0.58,0.387755102,0.96969697,0.174545455,0.376004947
Nielson,1992,27,8,3,24,11,5,-0.73,-1.3,-0.16,0.290816327,0.984615385,0.718769231,0.286342229
Geusens,1994,19,15,8.72,20,19,13.42,-0.34,-0.98,0.29,0.323979592,0.979591837,0.333061224,0.317367763
Adam,2003,30,33.6,18.07,30,36,21.91,-0.12,-0.62,0.39,0.257653061,0.987012987,0.118441558,0.254306918
Remans,2004,26,10.7,4.1,29,9.7,5.1,0.21,-0.32,0.74,0.270408163,0.985781991,-0.207014218,0.266563497
Sundrarjun,2004,23,9.13,6.62,23,12.3,10.31,-0.36,-0.94,0.22,0.295918367,0.982857143,0.353828571,0.290845481
