Author,Year,n,md,se_md,var_md,lCI,uCI,z,p,pooled_sd,d,J,g,se_g
Ayoama,2003,21,1.662,1.541,2.373,-1.357,4.681,1.079,0.281,3.530874573,0.470704911,0.96,0.451876714,0.418978349
Azizi,2011,20,1.15,6.48,41.993,-11.551,13.851,0.177,0.859,14.48972049,0.07936661,0.957746479,0.076013092,0.428317246
Bonilla,2021,16,1.35,2.712,7.355,-3.965,6.665,0.498,0.619,5.424,0.248893805,0.945454545,0.23531778,0.472727273
Brooks,2023,13,-0.9,3.193,10.194,-7.158,5.358,-0.282,0.778,5.756262611,-0.156351449,0.930232558,-0.145443208,0.516000183
Camica,2014,38.5,1,2.55,6.503,-3.998,5.998,0.392,0.695,7.911166949,0.126403602,0.979310345,0.123788355,0.315660306
Camicb,2014,38.5,0.5,3.111,9.676,-5.597,6.597,0.161,0.872,9.651623678,0.051804755,0.979310345,0.050732932,0.315660306
Claudino,2014,14,0.99,2.159,4.663,-3.242,5.222,0.458,0.647,4.039119149,0.245102945,0.936170213,0.229458076,0.500404027
Eghbalia,2024,18,2.5,1.696,2.878,-0.825,5.825,1.474,0.141,3.597759303,0.694876947,0.952380952,0.661787568,0.448956686
Eghbalib,2024,18,0,1.6,2.56,-3.136,3.136,0,1,3.39411255,0,0.952380952,0,0.448956686
Haffa,2000,18,0.32,4.496,20.215,-8.492,9.132,0.071,0.943,9.537456265,0.033551923,0.952380952,0.031954213,0.448956686
Haffb,2000,18,2.41,4.554,20.742,-6.516,11.336,0.529,0.597,9.660492845,0.249469674,0.952380952,0.237590166,0.448956686
Herdaa,2009,19.33333333,0.6,3.651,13.328,-6.555,7.755,0.164,0.869,8.026666276,0.074750834,0.956097561,0.07146909,0.434889414
Herdab,2009,19.33333333,0.3,2.598,6.752,-4.793,5.393,0.115,0.908,5.71166228,0.052524114,0.956097561,0.050218177,0.434889414
Herdac,2009,19.33333333,-0.4,3.56,12.671,-7.377,6.577,-0.112,0.911,7.826604202,-0.051107733,0.956097561,-0.048863979,0.434889414
Javierrea,2004,9.5,2.7,2.206,4.868,-1.624,7.024,1.224,0.221,3.399674323,0.794193721,0.896551724,0.71203575,0.581759579
Javierreb,2004,9.5,2.8,1.679,2.819,-0.491,6.091,1.668,0.095,2.587512778,1.08212026,0.896551724,0.970176785,0.581759579
Kirkseya,1999,18,2.37,1.11,1.232,0.194,4.546,2.135,0.033,2.354665581,1.006512355,0.952380952,0.958583195,0.448956686
Kirkseyb,1999,18,0.93,1.041,1.084,-1.11,2.97,0.893,0.372,2.208294478,0.421139485,0.952380952,0.401085224,0.448956686
larsonmeyer,2000,14,-0.2,1.636,2.678,-3.407,3.007,-0.122,0.903,3.060675742,-0.065345047,0.936170213,-0.061174086,0.500404027
Mujika,2000,17,-0.6,2.588,6.698,-5.672,4.472,-0.232,0.817,5.33529868,-0.112458559,0.949152542,-0.106740327,0.46040661
Noonana,1998,19.5,4,5.743,32.982,-7.256,15.256,0.696,0.486,12.68020066,0.315452421,0.956521739,0.301737098,0.433219039
Noonanb,1998,19.5,3,3.938,15.505,-4.718,10.718,0.762,0.446,8.694868573,0.345031092,0.956521739,0.33002974,0.433219039
Samadi,2022,20,2.1,2.978,8.868,-3.737,7.937,0.705,0.481,6.659010437,0.315362173,0.957746479,0.302037011,0.428317246
Stonea,1999,21,-0.3,3.844,14.778,-7.835,7.235,-0.078,0.938,8.807710486,-0.034061065,0.96,-0.032698622,0.418978349
Stoneb,1999,21,0.3,3.662,13.411,-6.878,7.478,0.082,0.935,8.390696097,0.035753887,0.96,0.034323732,0.418978349
Stout,1999,15,13.3,1.396,1.948,10.565,16.035,9.53,0,2.703342376,4.919835578,0.941176471,4.630433485,0.48602144
Tayebia,2020,12,-2.4,0.675,0.455,-3.722,-1.078,-3.558,0,1.169134295,-2.052800957,0.923076923,-1.894893191,0.53293871
Tayebib,2020,12,-0.1,0.642,0.412,-1.359,1.159,-0.156,0.876,1.111976618,-0.089929948,0.923076923,-0.08301226,0.53293871
Tayebic,2020,12,1.8,0.675,0.455,0.478,3.122,2.668,0.008,1.169134295,1.539600718,0.923076923,1.421169893,0.53293871
Tayebi,2021,18,-1.9,4.691,22.009,-11.095,7.295,-0.405,0.685,9.951113732,-0.190933402,0.952380952,-0.181841335,0.448956686
Wang,2016,30,0.4,2.238,5.009,-3.986,4.786,0.179,0.858,6.129015418,0.065263337,0.972972973,0.063499463,0.355279497
Wang,2018,30,2.06,2.064,4.262,-1.986,6.106,0.998,0.318,5.652496793,0.36444072,0.972972973,0.354590971,0.355279497
Williams,2014,16,0.7,2.409,5.804,-4.022,5.422,0.291,0.771,4.818,0.145288501,0.945454545,0.137363674,0.472727273
Zahabia,2024,12,1.1,3.006,9.038,-4.792,6.992,0.366,0.714,5.206544728,0.211272554,0.923076923,0.195020819,0.53293871
Zahabib,2024,22,4.8,3.281,10.767,-1.631,11.231,1.463,0.144,7.694627054,0.62381191,0.962025316,0.60012285,0.410208973
