Author,Year,g,se_g,g_lCI,g_uCI,p_value
Suna,2007,0.3,0.26,-0.21,0.81,0.248
Rogersa,2005,0.43,0.35,-0.25,1.11,0.215
Patat,2000,0.62,0.3,0.04,1.2,0.036
Rogersb,2005,0.65,0.35,-0.04,1.34,0.065
Beaumont,2001,0.72,0.26,0.21,1.23,0.005
Beaumont,2001,0.76,0.26,0.25,1.27,0.003
Deslandes,2006,0.89,0.66,-0.41,2.19,0.179
Souissi,2015,0.91,0.4,0.13,1.69,0.022
Aggarwal,2011,1.1,0.32,0.47,1.73,0.001
Beaumont,2001,1.1,0.27,0.57,1.63,0
Sunc,2007,1.11,0.34,0.44,1.78,0.001
Sunb,2007,1.56,0.29,0.98,2.14,0
Sunc,2007,1.56,0.36,0.85,2.27,0
Sunc,2007,2.1,0.39,1.33,2.87,0
Suna,2007,2.93,0.37,2.2,3.66,0
Sunc,2007,3.71,0.52,2.69,4.73,0
Sunc,2007,4.09,0.56,3,5.18,0
Sunc,2007,4.8,0.62,3.58,6.02,0
Sunb,2007,6.08,0.61,4.88,7.28,0
