Author,Year,g,se_g,g_lCI,g_uCI,p_value
Aggarwal,2011,-1.45,0.44,-2.31,-0.59,0.001
Deslandes,2006,-0.8,0.66,-2.09,0.49,0.224
Wesensten,2005,-0.57,0.42,-1.39,0.25,0.171
Wesensten,2005,-0.49,0.41,-1.3,0.32,0.237
Rogers,2005,-0.36,0.35,-1.04,0.32,0.298
Killgore,2009,-0.35,0.44,-1.21,0.51,0.427
Wesensten,2005,-0.27,0.41,-1.07,0.53,0.51
Wesensten,2005,-0.19,0.41,-0.99,0.61,0.642
Wesensten,2005,-0.13,0.41,-0.93,0.67,0.75
"Killgore, Muckle",2008,0,0.53,-1.05,1.05,1
Wesensten,2005,0.04,0.41,-0.76,0.84,0.922
Wesensten,2005,0.05,0.41,-0.75,0.85,0.903
Rogers,2005,0.13,0.34,-0.54,0.8,0.705
Rogers,2005,0.19,0.34,-0.48,0.86,0.58
Rogers,2005,0.2,0.34,-0.47,0.87,0.561
Killgore,2009,0.24,0.44,-0.62,1.1,0.584
Kohler,2006,0.25,0.15,-0.05,0.55,0.107
Kamimori,2015,0.31,0.45,-0.57,1.19,0.491
Kohler,2006,0.31,0.16,0.01,0.61,0.046
"Killgore, Muckle",2008,0.34,0.58,-0.8,1.48,0.559
Kamimori,2015,0.37,0.45,-0.51,1.25,0.412
Rogers,2005,0.41,0.35,-0.27,1.09,0.237
Rogers,2005,0.43,0.35,-0.25,1.11,0.215
Gottselig,2006,0.53,0.22,0.09,0.97,0.017
Kamimori,2015,0.55,0.46,-0.34,1.44,0.227
Kamimori,2015,0.63,0.46,-0.27,1.53,0.169
Kamimori,2015,0.69,0.46,-0.21,1.59,0.134
Killgore,2009,0.7,0.45,-0.18,1.58,0.12
Kamimori,2015,0.7,0.46,-0.2,1.6,0.129
Kamimori,2015,0.78,0.46,-0.13,1.69,0.093
Killgore,2009,0.85,0.46,-0.04,1.74,0.062
Kamimori,2015,0.9,0.47,-0.02,1.82,0.055
Kamimori,2015,0.98,0.47,0.05,1.91,0.038
Killgore,2009,1.06,0.47,0.15,1.97,0.023
Killgore,2009,1.37,0.49,0.42,2.32,0.005
Killgore,2009,1.57,0.5,0.59,2.55,0.002
Killgore,2009,1.61,0.5,0.62,2.6,0.001
