study_label,k_effects,g,se_g,z,p_two
Rogersa_2005,1,0.43,0.35,1.2285714285714286,0.2192325332813332
Patat_2000,1,0.62,0.3,2.066666666666667,0.03876557417763715
Rogersb_2005,1,0.65,0.35,1.8571428571428574,0.0632908322333452
Beaumont_2001,3,0.8540393626991564,0.15196371588829746,5.620021580196993,1.9093360670296988e-08
Deslandes_2006,1,0.89,0.66,1.3484848484848484,0.1775024901662603
Souissi_2015,1,0.91,0.4,2.275,0.0229059298322305
Aggarwal_2011,1,1.1,0.32,3.4375,0.0005871107195039027
Suna_2007,2,1.1693789731051345,0.21272984118377317,5.497014272176938,3.86275447183948e-08
Sunc_2007,6,2.303303417403544,0.1756017685896716,13.116629951408232,0.0
Sunb_2007,2,2.3932573432704953,0.26190886133160096,9.13774864700133,0.0
Souissi_2018,1,7.49,1.16,6.456896551724139,1.0687184470725697e-10
