author,year,wmd,lCI,uCI,n_treat,n_control,se_wmd,pooled_sd,d,se_d,J,g,se_g
Hirsh,2019,-0.6,-6.18,4.98,10,12,2.846938776,9,-0.066666667,0.316326531,0.962025316,0.064135021,0.304314131
Kessler,2018,-3.91,-10.16,2.34,20,13,3.18877551,9,-0.434444444,0.35430839,0.975609756,0.423848238,0.345666722
Izadi,2018,-0.25,-0.28,-0.22,30,30,0.015306122,9,-0.027777778,0.00170068,0.987012987,0.027417027,0.001678594
Bowen,2018,-0.5,-1.2,0.2,67,68,0.357142857,9,-0.055555556,0.03968254,0.994350282,0.055241682,0.039458345
Astbury,2018,-4.5,-7.38,-1.62,100,93,1.469387755,9,-0.5,0.163265306,0.996068152,0.498034076,0.162623372
Trepanowski (ADF),2017,-1.2,-2.83,0.43,25,25,0.831632653,9,-0.133333333,0.092403628,0.984293194,0.131239092,0.090952262
Trepanowski (CR),2017,-0.9,-2.47,0.67,29,25,0.801020408,9,-0.1,0.089002268,0.985507246,0.098550725,0.08771238
Wei,2017,-2.4,-4.78,-0.02,38,43,1.214285714,9,-0.266666667,0.134920635,0.99047619,0.264126984,0.133635676
Li,2017,-12.2,-20.59,-3.81,16,16,4.280612245,9,-1.355555556,0.475623583,0.974789916,1.321381886,0.463633072
Lambert (a),2017,-10.61,-19.35,-1.87,10,6,4.459183673,9,-1.178888889,0.495464853,0.945454545,1.114585859,0.468439497
Lambert (b),2017,3.74,-4.06,11.54,11,10,3.979591837,9,0.415555556,0.442176871,0.96,-0.398933333,0.424489796
Venchiarutti (a),2017,0.44,0.25,0.63,14,85,0.096938776,9,0.048888889,0.010770975,0.992248062,-0.048509905,0.010687479
Venchiarutti (b),2017,-0.34,-0.47,-0.2,22,155,0.068877551,9,-0.037777778,0.007653061,0.995708155,0.037615641,0.007620215
Harder-Lauridsen,2017,4.5,2.6,6.4,9,9,0.969387755,9,0.5,0.107709751,0.952380952,-0.476190476,0.102580715
Zuo,2016,0.1,-3.45,3.65,10,14,1.81122449,9,0.011111111,0.201247166,0.965517241,-0.010727969,0.194307608
Lee,2017,-16.9,-20.17,-13.63,6,5,1.668367347,9,-1.877777778,0.18537415,0.914285714,1.716825397,0.169484937
Karimi,2016,-0.2,-1.69,1.29,30,30,0.760204082,9,-0.022222222,0.08446712,0.987012987,0.021933622,0.083370145
Ismail,2015,-3.4,-4.13,-2.67,56,84,0.37244898,9,-0.377777778,0.04138322,0.994555354,0.375720911,0.041157903
Fernandes,2015,-3.48,-7.81,0.85,11,10,2.209183673,9,-0.386666667,0.245464853,0.96,0.3712,0.235646259
Varady,2013,-8,-20.39,4.39,15,15,6.321428571,9,-0.888888889,0.702380952,0.972972973,0.864864865,0.683397683
Teng,2013,-4.3,-5.3,-3.3,28,28,0.510204082,9,-0.477777778,0.056689342,0.986046512,0.471111111,0.055898328
Bhutani (a),2013,-0.8,-7.87,6.27,16,16,3.607142857,9,-0.088888889,0.400793651,0.974789916,0.086647993,0.390689609
Bhutani (b),2013,0,-7.07,7.07,16,16,3.607142857,9,0,0.400793651,0.974789916,0,0.390689609
