Author,Year,g,g_lCI,g_uCI,p_value,se_g
Bond,1986,-0.13,-0.33,0.06,0.184,0.099489796
Tallis,2013,-0.05,-0.25,0.14,0.589,0.099489796
Tallis,2016,0.07,-0.11,0.25,0.434,0.091836735
Astorino,2010,0.09,-0.09,0.27,0.314,0.091836735
Ali,2016,0.15,-0.08,0.38,0.205,0.117346939
Tallis,2018,0.17,-0.07,0.41,0.16,0.12244898
Jacobson,1992,0.22,0.12,0.33,0,0.053571429
Timmins,2014,0.27,0.1,0.43,0.002,0.084183673
Bazzucchi,2011,0.34,0.16,0.51,0,0.089285714
Duncan,2014,0.53,0.26,0.81,0,0.140306122
