Author,Group,n_treat,n_control,d,lCI,uCI,se_d,J,g,se_g
de Ruyter,,319,322,-0.32,-0.47,-0.16,0.079081633,0.998825832,0.319624266,0.078988778
Blackburn,,82,81,-0.38,-0.74,-0.03,0.181122449,0.99533437,0.378227061,0.180277399
Ebbeling,,67,67,-0.15,-0.5,0.21,0.181122449,0.9943074,0.14914611,0.180091391
Taljaard,micronutrients,91,87,-0.13,-0.42,0.16,0.147959184,0.995732575,0.129445235,0.147327779
Taljaard,no micronutrients,88,91,0.3,0,0.59,0.150510204,0.995756719,-0.298727016,0.149871547
Engel,,15,14,-0.28,-1.01,0.46,0.375,0.971962617,0.272149533,0.364485981
Vásquez-Duran,,50,49,-0.12,-0.52,0.27,0.201530612,0.992248062,0.119069767,0.199968359
Tate,,105,105,-0.17,-0.44,0.09,0.135204082,0.996389892,0.169386282,0.13471598
Frey,2-3 yr olds,7,6,-0.02,-1.11,1.07,0.556122449,0.930232558,0.018604651,0.517323208
Frey,4-6 yr olds,11,11,-0.02,-0.86,0.81,0.426020408,0.962025316,0.019240506,0.409842418
Frey,7-9 yr olds,11,11,0.13,-0.7,0.97,0.426020408,0.962025316,-0.125063291,0.409842418
Frey,10-12 yr olds,12,12,-0.1,-0.9,0.7,0.408163265,0.965517241,0.096551724,0.39408867
Higgins,saccharin,29,39,-0.34,-1.06,0.39,0.369897959,0.988593156,0.336121673,0.365678591
Higgins,aspartame,30,39,-0.56,-1.29,0.16,0.369897959,0.988764045,0.553707865,0.365741802
Higgins,Reb. A,28,39,-0.63,-1.36,0.11,0.375,0.988416988,0.622702703,0.370656371
Higgins,sucralose,28,39,-1.32,-2.14,-0.51,0.415816327,0.988416988,1.304710425,0.410999921
Campos,,14,13,-1.02,-1.83,-0.22,0.410714286,0.96969697,0.989090909,0.398268398
Raben,,20,21,-1.44,-2.14,-0.75,0.354591837,0.980645161,1.412129032,0.347728769
Berryman,females,15,15,-0.7,-1.6,0.21,0.461734694,0.972972973,0.681081081,0.449255378
Berryman,males,10,10,-1.18,-1.95,-0.4,0.395408163,0.957746479,1.130140845,0.378700776
Reid,,21,20,0.09,-0.52,0.7,0.31122449,0.980645161,-0.088258065,0.30520079
Kim,,9,12,-0.47,-1.34,0.41,0.446428571,0.96,0.4512,0.428571429
Reid,told sugar,14,9,-0.67,-1.4,0.07,0.375,0.963855422,0.645783133,0.361445783
Reid,told LCS,15,15,-0.06,-0.89,0.78,0.426020408,0.972972973,0.058378378,0.414506343
Reid,told sugar,33,35,-0.86,-1.36,-0.35,0.257653061,0.988593156,0.850190114,0.254714053
Reid,told LCS,32,33,-0.29,-0.77,0.18,0.242346939,0.988047809,0.286533865,0.239450362
Stanhope,10% energy,23,19,-0.08,-0.91,0.75,0.423469388,0.981132075,0.078490566,0.415479399
Stanhope,17.5% energy,23,16,-0.31,-1.21,0.58,0.456632653,0.979591837,0.303673469,0.447313619
Stanhope,25% energy,23,28,-0.7,-1.51,0.1,0.410714286,0.984615385,0.689230769,0.404395604
