Author,n_control,mc_control,sd_control,n_treat,mc_treat,sd_treat,md,lCI,uCI,se_md,pooled_sd,d,J,g,se_g
Cribb,8,-0.3,1.81,7,-0.7,0.95,0.4,-1.04,1.84,0.734693878,1.422728576,0.281149902,0.941176471,-0.264611673,0.48602144
Ferguson,13,-0.7,1.13,13,1.4,1.27,-2.1,-3.03,-1.17,0.474489796,1.209716364,-1.735944112,0.968421053,1.681124825,0.379845988
Hoffman,11,-0.7,0.9,11,0.32,1.5,-1.02,-2.05,0.01,0.525510204,1.232430672,-0.827632761,0.962025316,0.796203669,0.410208973
Nunes,22,-0.12,0.85,21,-0.31,0.77,0.19,-0.29,0.67,0.244897959,0.802951656,0.236626948,0.981595092,-0.232271851,0.299383696
Taylor,14,-1.1,0.84,15,4,0.81,-1.5,-2.1,-0.9,0.306122449,0.824259919,-1.819814314,0.971962617,1.768791483,0.360977854
Volek,9,-1.3,1.36,8,0.9,1.25,-2.2,-3.44,-0.96,0.632653061,1.304247698,-1.686796153,0.949152542,1.601026858,0.46040661
Arciero,10,0,0.74,10,-0.1,1.02,0.1,-0.68,0.88,0.397959184,0.889863787,0.11237675,0.957746479,-0.107628436,0.428317246
Saremi,8,-1.28,0.37,8,0.98,0.27,-2.26,-2.58,-1.94,0.163265306,0.326530612,-6.92125,0.945454545,6.543727273,0.472727273
Ribeiro,14,0.2,0.82,13,-0.3,0.98,0.5,-0.18,1.18,0.346938776,0.901373379,0.554709082,0.96969697,-0.537899716,0.373236538
