Author,n_control,mc_control,sd_control,n_treat,mc_treat,sd_treat,md,lCI,uCI,se_md,pooled_sd,d,J,g,se_g
Cribb,8,0.4,3.39,7,-0.8,1.1,1.2,-1.28,3.68,1.265306122,2.45025477,0.489744991,0.941176471,-0.460936462,0.48602144
Hoffman,11,-0.39,1.24,11,0.29,1.89,-0.68,-2.02,0.66,0.683673469,1.603356408,-0.424110321,0.962025316,0.408004865,0.410208973
Taylor,14,-0.7,0.83,15,0.3,0.8,-1,-1.59,-0.41,0.301020408,0.810522254,-1.233772416,0.971962617,1.199180666,0.360977854
Volek,8,-0.7,1.78,8,0.7,1.52,-1.4,-3.02,0.22,0.826530612,1.653061224,-0.84691358,0.945454545,0.800718294,0.472727273
Arciero,10,0.3,0.71,10,-0.2,1.19,0.5,-0.36,1.36,0.43877551,0.981131868,0.509615493,0.957746479,-0.488082444,0.428317246
Saremi,8,-0.48,0.46,8,0.49,0.28,-0.97,-1.34,-0.6,0.18877551,0.37755102,-2.569189189,0.945454545,2.429051597,0.472727273
Spillane,10,-1.47,1.82,5,0.33,0.63,-1.8,-3.05,-0.55,0.637755102,1.235007445,-1.457481093,0.941176471,1.371746911,0.48602144
