"dataset_id","analysis_id","stratum","ODR","EDR","Soric_FDR","MissingN","run_id"
"cermak2012_protein_lean_body_mass","nutrition_v4__protein__cermak2012__lean_body_mass__main","protein",0.18,0.083777541180008,0.575598592359972,0,"20260515T185057_cermak2012_protein_lean_body_mass"
"cermak2012_protein_leg_press_strength","nutrition_v4__protein__cermak2012__leg_press_strength__main","protein",0.23,0.0942720546409304,0.505663076207097,0,"20260515T185058_cermak2012_protein_leg_press_strength"
"finger2015_protein_lean_body_mass","nutrition_v4__protein__finger2015__lean_body_mass__main","protein",0,0.0500000000000001,0.999999999999999,12.16187469688,"20260515T185121_finger2015_protein_lean_body_mass"
"finger2015_protein_muscle_mass","nutrition_v4__protein__finger2015__muscle_mass__main","protein",0,0.0500000000000001,1,0,"20260515T185128_finger2015_protein_muscle_mass"
"liao2017_protein_lean_body_mass_excl","nutrition_v4__protein__liao2017__lean_body_mass__excl","protein",0.4,0.112770655604298,0.414081865391192,0,"20260515T185131_liao2017_protein_lean_body_mass_excl"
"liao2017_protein_leg_strength","nutrition_v4__protein__liao2017__leg_strength__main","protein",0.64,0.0590351788248476,0.838897549123637,0,"20260515T185150_liao2017_protein_leg_strength"
"milne2006_protein_complications","nutrition_v4__protein__milne2006__complications__main","protein",0,0.0513125812290087,0.973073574103692,3.6466701798271,"20260515T185155_milne2006_protein_complications"
"milne2006_protein_mortality","nutrition_v4__protein__milne2006__mortality__main","protein",0.11,0.0721645223920279,0.676696042576584,0,"20260515T185200_milne2006_protein_mortality"
"morton2018_protein_lean_body_mass","nutrition_v4__protein__morton2018__lean_body_mass__main","protein",0.08,0.0500000000000001,1,0,"20260515T185219_morton2018_protein_lean_body_mass"
"morton2018_protein_muscle_fiber_size","nutrition_v4__protein__morton2018__muscle_fiber_size__main","protein",0.45,0.269776094068049,0.142461983232953,0,"20260515T185225_morton2018_protein_muscle_fiber_size"
"morton2018_protein_muscle_strength","nutrition_v4__protein__morton2018__muscle_strength__main","protein",0.18,0.0602963007877924,0.82025081172956,0,"20260515T185229_morton2018_protein_muscle_strength"
"nunes2022_protein_bench_press_strength_excl","nutrition_v4__protein__nunes2022__bench_press_strength__excl","protein",0.13,0.0500000000000001,0.999999999999999,61.8193779660271,"20260515T185251_nunes2022_protein_bench_press_strength_excl"
"nunes2022_protein_lean_body_mass_excl","nutrition_v4__protein__nunes2022__lean_body_mass__excl","protein",0.1,0.0500000000000001,0.999999999999998,172.42523658918,"20260515T185255_nunes2022_protein_lean_body_mass_excl"
"nunes2022_protein_leg_strength","nutrition_v4__protein__nunes2022__leg_strength__main","protein",0.21,0.061024328087762,0.809837226270519,0,"20260515T185304_nunes2022_protein_leg_strength"
"orsso2024_protein_body_weight","nutrition_v4__protein__orsso2024__body_weight__main","protein",0.36,0.488710142735145,0.0550632985448023,0,"20260515T185339_orsso2024_protein_body_weight"
"schoenfeld2017_protein_muscle_size","nutrition_v4__protein__schoenfeld2017__muscle_size__main","protein",0.09,0.137562139435552,0.329970636889233,0,"20260515T185348_schoenfeld2017_protein_muscle_size"
"schoenfeld2017_protein_muscle_strength","nutrition_v4__protein__schoenfeld2017__muscle_strength__main","protein",0.15,0.0618465379995787,0.798371253367313,0,"20260515T185405_schoenfeld2017_protein_muscle_strength"
"wycherley2010_protein_body_weight","nutrition_v4__protein__wycherley2010__body_weight__main","protein",0.22,0.251055864617862,0.157009330317012,0,"20260515T185408_wycherley2010_protein_body_weight"
"wycherley2010_protein_fat_mass","nutrition_v4__protein__wycherley2010__fat_mass__main","protein",0.28,0.111800188874123,0.418133091436047,3.68710011727037,"20260515T185418_wycherley2010_protein_fat_mass"
"wycherley2010_protein_lean_body_mass","nutrition_v4__protein__wycherley2010__lean_body_mass__main","protein",0.29,0.0937404978293139,0.508828919025873,0,"20260515T185434_wycherley2010_protein_lean_body_mass"
"wycherley2010_protein_triglycerides","nutrition_v4__protein__wycherley2010__triglycerides__main","protein",0.15,0.0503746807148076,0.992170655042845,0,"20260515T185439_wycherley2010_protein_triglycerides"
